Time       moves_acc moves_gen     G(r)_1     S(Q)_1     Bragg
h/m/s/.th    WEIGHT PARAMETERS   0.400E+03  0.100E+05  0.100E+05
141450.355        1209        4027  0.117E+01  0.733E+00  0.909E-01
141502.352        2436       11446  0.106E+01  0.349E+00  0.361E-01
141514.353        3543       18476  0.921E+00  0.211E+00  0.918E-02
141526.356        4699       24405  0.643E+00  0.134E+00  0.819E-03
141538.352        5594       28073  0.210E+00  0.618E-01  0.116E-03
141550.354        6424       31242  0.742E-01  0.390E-01  0.590E-04
141602.357        7179       34163  0.492E-01  0.289E-01  0.477E-04
141614.354        8173       38195  0.449E-01  0.236E-01  0.428E-04
141626.353        9265       42574  0.424E-01  0.202E-01  0.407E-04
141638.352       10401       46875  0.350E-01  0.188E-01  0.398E-04
141650.355       11562       51198  0.356E-01  0.180E-01  0.373E-04
141702.352       12820       55794  0.357E-01  0.175E-01  0.369E-04
141714.355       14135       60351  0.337E-01  0.164E-01  0.362E-04
141726.353       15290       64668  0.329E-01  0.153E-01  0.366E-04
141738.353       16496       69000  0.308E-01  0.148E-01  0.354E-04
141750.353       17727       73386  0.333E-01  0.139E-01  0.364E-04
141802.352       18898       77715  0.320E-01  0.133E-01  0.354E-04
141814.353       20057       82036  0.335E-01  0.134E-01  0.353E-04
141826.352       21407       86844  0.287E-01  0.139E-01  0.353E-04
141838.354       22775       91615  0.314E-01  0.129E-01  0.362E-04
141850.355       23687       95027  0.346E-01  0.130E-01  0.356E-04
141902.355       24474       97940  0.318E-01  0.128E-01  0.359E-04
141914.352       25715      102274  0.322E-01  0.126E-01  0.352E-04
141926.353       26882      106555  0.308E-01  0.126E-01  0.361E-04
141938.354       28107      110915  0.295E-01  0.122E-01  0.345E-04
141950.354       29418      115585  0.318E-01  0.122E-01  0.348E-04
142002.352       30795      120339  0.293E-01  0.120E-01  0.354E-04
142014.352       32124      125036  0.334E-01  0.119E-01  0.349E-04
142026.354       33431      129698  0.326E-01  0.115E-01  0.347E-04
142038.353       34829      134461  0.340E-01  0.120E-01  0.346E-04
142050.353       36042      138772  0.303E-01  0.117E-01  0.348E-04
142102.353       37288      143103  0.339E-01  0.119E-01  0.349E-04
142114.352       38536      147449  0.287E-01  0.117E-01  0.340E-04
142126.353       39852      151833  0.318E-01  0.117E-01  0.341E-04
142138.353       40747      154804  0.301E-01  0.109E-01  0.348E-04
142150.355       41942      159183  0.307E-01  0.111E-01  0.351E-04
142202.353       42774      162146  0.283E-01  0.107E-01  0.344E-04
142214.353       43649      165093  0.310E-01  0.110E-01  0.351E-04
142226.354       44912      169400  0.302E-01  0.114E-01  0.352E-04
142238.354       46193      173737  0.312E-01  0.106E-01  0.348E-04
142250.353       47323      178046  0.281E-01  0.102E-01  0.348E-04
142302.355       48584      182321  0.306E-01  0.104E-01  0.339E-04
142314.354       49816      186595  0.309E-01  0.107E-01  0.337E-04
142326.353       51108      190926  0.296E-01  0.105E-01  0.347E-04
142338.354       52309      195180  0.305E-01  0.104E-01  0.343E-04
142350.353       53565      199492  0.294E-01  0.105E-01  0.349E-04
142402.354       54812      203811  0.313E-01  0.102E-01  0.348E-04
142414.352       56020      208210  0.326E-01  0.997E-02  0.353E-04
142426.354       57291      212618  0.316E-01  0.961E-02  0.356E-04
142438.354       58557      217003  0.296E-01  0.103E-01  0.350E-04
