 Q (1/Ang),Si-Si,Si-O ,O-O  
  12.20000 ,    -0.105111968209574E+00 ,     0.102423585070135E+00 ,    -0.155621968768364E-02 , 
  12.40000 ,    -0.790888350732599E-01 ,     0.151589021516761E+00 ,     0.675662843509520E-01 , 
  12.60000 ,     0.122769834311110E-02 ,     0.190190382360410E+00 ,     0.130655273988757E+00 , 
  12.80000 ,     0.664241815850403E-01 ,     0.205484637315851E+00 ,     0.158110059492893E+00 , 
  13.00000 ,     0.919512068384246E-01 ,     0.174973911120032E+00 ,     0.145140403371081E+00 , 
  13.20000 ,     0.943716711802808E-01 ,     0.125670821264631E+00 ,     0.979796899497782E-01 , 
  13.40000 ,     0.624090162077247E-01 ,     0.693778003703212E-01 ,     0.346814289855369E-01 , 
  13.60000 ,     0.177475798941528E-01 ,     0.189972528833770E-01 ,    -0.258189603141561E-01 , 
  13.80000 ,    -0.541747563966196E-01 ,    -0.322614250458730E-01 ,    -0.623661577807856E-01 , 
  14.00000 ,    -0.735861206566967E-01 ,    -0.662274404723029E-01 ,    -0.753486885658359E-01 , 
  14.20000 ,    -0.593425545780255E-01 ,    -0.937500649672277E-01 ,    -0.629431292948623E-01 , 
  14.40000 ,    -0.594529005383337E-01 ,    -0.115501405149318E+00 ,    -0.371359397369415E-01 , 
  14.60000 ,    -0.104941102403226E-01 ,    -0.117215293796726E+00 ,    -0.174093667387468E-01 , 
  14.80000 ,     0.274827802503507E-01 ,    -0.109420235242869E+00 ,     0.978650809281152E-02 , 
  15.00000 ,     0.682393473532327E-01 ,    -0.959493489142618E-01 ,     0.245998824627982E-01 , 
  15.20000 ,     0.622719909780589E-01 ,    -0.705923425253479E-01 ,     0.283449573409605E-01 , 
  15.40000 ,     0.587772307057144E-01 ,    -0.397124459397502E-01 ,     0.169281726923403E-01 , 
  15.60000 ,     0.200518282411063E-01 ,    -0.169159504241758E-01 ,     0.700247869636205E-02 , 
  15.80000 ,    -0.239683279563159E-01 ,     0.502235327641473E-02 ,    -0.114002637425094E-01 , 
  16.00000 ,    -0.489419072485161E-01 ,     0.294048993727439E-01 ,    -0.308929213254846E-01 , 
  16.20000 ,    -0.437468493423700E-01 ,     0.462563190665460E-01 ,    -0.409500036220819E-01 , 
  16.40000 ,    -0.331322719910578E-01 ,     0.691242061355464E-01 ,    -0.398642046566523E-01 , 
  16.60000 ,    -0.380568686469559E-02 ,     0.777523211273920E-01 ,    -0.160870160797796E-01 , 
  16.80000 ,     0.192857742177958E-01 ,     0.920529765786802E-01 ,     0.336247037325979E-02 , 
  17.00000 ,     0.325221183291533E-01 ,     0.902498841588515E-01 ,     0.408982349891872E-01 , 
  17.20000 ,     0.261407097976749E-01 ,     0.868880962773340E-01 ,     0.659200249206573E-01 , 
  17.40000 ,     0.256455327447638E-01 ,     0.692016090348324E-01 ,     0.746639235599145E-01 , 
  17.60000 ,     0.120168818247412E-01 ,     0.398409212927841E-01 ,     0.656670715912153E-01 , 
  17.80000 ,    -0.129299234647021E-01 ,     0.374296387146939E-02 ,     0.525007126161755E-01 , 
  18.00000 ,    -0.139564681506063E-01 ,    -0.263350498380232E-01 ,     0.243087449917872E-01 , 
  18.20000 ,    -0.217460995660805E-01 ,    -0.566713477509850E-01 ,    -0.785201026484443E-02 , 
  18.40000 ,    -0.164272138418618E-01 ,    -0.822957397698476E-01 ,    -0.332303050023097E-01 , 
  18.60000 ,    -0.101817274705874E-01 ,    -0.916549585891576E-01 ,    -0.517294763149699E-01 , 
  18.80000 ,     0.658086489356064E-03 ,    -0.835066443920968E-01 ,    -0.612006522745888E-01 , 
  19.00000 ,    -0.963155906508593E-02 ,    -0.707112584421143E-01 ,    -0.552656418275501E-01 , 
  19.20000 ,    -0.268414455725568E-02 ,    -0.549324890688311E-01 ,    -0.362150600389128E-01 , 
  19.40000 ,     0.489357584987239E-02 ,    -0.319954684521475E-01 ,    -0.154984224670485E-01 , 
  19.60000 ,     0.101177635226866E-01 ,    -0.652171370831370E-02 ,    -0.508674993587011E-04 , 
  19.80000 ,     0.339600990533293E-02 ,     0.120509785315125E-01 ,     0.206940221702756E-01 , 
  20.00000 ,     0.126748579406605E-01 ,     0.357539484882206E-01 ,     0.345283654244677E-01 , 
  20.20000 ,     0.117337362325461E-01 ,     0.542013182035527E-01 ,     0.436494368449663E-01 , 
  20.40000 ,     0.985743971153522E-02 ,     0.614808033768633E-01 ,     0.407410543500343E-01 , 
  20.60000 ,    -0.624122207564608E-03 ,     0.674270947398429E-01 ,     0.286838756459001E-01 , 
  20.80000 ,    -0.132407968478105E-01 ,     0.644688166304779E-01 ,     0.161014826788972E-01 , 
  21.00000 ,    -0.172935104451827E-01 ,     0.564432382459273E-01 ,     0.137361435132960E-02 , 
  21.20000 ,    -0.154922385726836E-01 ,     0.447844618046045E-01 ,    -0.782077627022107E-02 , 
  21.40000 ,    -0.864818686640704E-03 ,     0.261843546883129E-01 ,    -0.719830799897738E-02 , 
