Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
155032.391        5517       23937  0.312E+00  0.960E+00
155044.388        8554       43549  0.313E+00  0.917E+00
155056.388       11385       63567  0.313E+00  0.880E+00
155108.388       14026       83735  0.314E+00  0.848E+00
155120.385       16606      103870  0.315E+00  0.819E+00
155132.384       20502      131117  0.316E+00  0.790E+00
155144.384       23798      158058  0.317E+00  0.759E+00
155156.382       26963      184743  0.317E+00  0.732E+00
155208.384       29966      211448  0.317E+00  0.708E+00
155220.382       32952      238270  0.317E+00  0.684E+00
155232.382       35844      265593  0.317E+00  0.663E+00
155244.382       38761      292969  0.317E+00  0.641E+00
155256.388       41549      319897  0.317E+00  0.622E+00
155308.382       44414      347233  0.318E+00  0.603E+00
155320.381       47295      375396  0.318E+00  0.583E+00
155332.381       50150      403561  0.318E+00  0.566E+00
155344.397       52883      431243  0.318E+00  0.550E+00
155356.402       54563      448464  0.318E+00  0.540E+00
155408.395       56409      467583  0.319E+00  0.530E+00
155420.383       58788      492326  0.319E+00  0.517E+00
155432.382       61216      518004  0.319E+00  0.504E+00
155444.383       63648      543756  0.319E+00  0.491E+00
155456.388       65954      569074  0.319E+00  0.478E+00
155508.383       68296      594386  0.320E+00  0.466E+00
155520.390       70628      619734  0.320E+00  0.455E+00
155532.391       72976      645013  0.320E+00  0.443E+00
155544.383       75282      670814  0.321E+00  0.432E+00
155556.386       77583      696796  0.321E+00  0.422E+00
155608.388       79821      722458  0.321E+00  0.412E+00
155620.385       82032      747932  0.321E+00  0.402E+00
155632.386       84358      773515  0.322E+00  0.391E+00
155644.403       86123      793750  0.322E+00  0.383E+00
155656.391       87906      814346  0.322E+00  0.375E+00
155708.383       90262      841147  0.323E+00  0.366E+00
155720.383       92612      868035  0.323E+00  0.356E+00
155732.386       94917      894719  0.324E+00  0.346E+00
155744.387       96576      914725  0.324E+00  0.340E+00
155756.386       98179      934504  0.324E+00  0.334E+00
155808.386       99811      954988  0.324E+00  0.328E+00
155820.396      101563      975202  0.325E+00  0.321E+00
155832.393      103204      994987  0.325E+00  0.315E+00
155844.395      105009     1016597  0.325E+00  0.308E+00
155856.386      106657     1036331  0.326E+00  0.302E+00
155908.383      108764     1061796  0.326E+00  0.294E+00
155920.389      110526     1083423  0.327E+00  0.287E+00
155932.388      112589     1108579  0.327E+00  0.280E+00
155944.389      114649     1133523  0.328E+00  0.273E+00
155956.384      116878     1160042  0.328E+00  0.266E+00
160008.382      118967     1185291  0.328E+00  0.259E+00
160020.388      120610     1206201  0.329E+00  0.254E+00
