  0.00000E+00 -0.34811E+00 -0.37954E+00 -0.49448E+00 -0.42370E+00  0.26348E+00  0.26352E+00
  0.50000E-01 -0.33060E+00 -0.35585E+00 -0.48740E+00 -0.43738E+00  0.26686E+00  0.27727E+00
  0.10000E+00 -0.28103E+00 -0.28874E+00 -0.46729E+00 -0.46652E+00  0.27509E+00  0.31119E+00
  0.15000E+00 -0.20770E+00 -0.18988E+00 -0.43724E+00 -0.48462E+00  0.28299E+00  0.34801E+00
  0.20000E+00 -0.12247E+00 -0.11305E+00 -0.40157E+00 -0.56791E+00  0.28370E+00  0.49949E-01
  0.25000E+00 -0.38312E-01  0.35253E-02 -0.36488E+00 -0.42319E+00  0.27080E+00  0.20568E+00
  0.30000E+00  0.33220E-01  0.91106E-01 -0.33093E+00 -0.25655E+00  0.24020E+00  0.40454E+00
  0.35000E+00  0.84083E-01  0.11515E+00 -0.30229E+00 -0.19815E+00  0.19227E+00  0.34184E+00
  0.40000E+00  0.11113E+00  0.10007E+00 -0.27936E+00 -0.20252E+00  0.13124E+00  0.22988E+00
  0.45000E+00  0.11599E+00  0.62258E-01 -0.26103E+00 -0.27123E+00  0.65025E-01 -0.78655E-02
  0.50000E+00  0.10407E+00  0.41214E-01 -0.24502E+00 -0.30349E+00  0.33853E-02 -0.17068E+00
  0.55000E+00  0.83111E-01  0.40746E-01 -0.22895E+00 -0.28173E+00 -0.44385E-01 -0.13451E+00
  0.60000E+00  0.60783E-01  0.56707E-01 -0.21084E+00 -0.23353E+00 -0.71694E-01 -0.75453E-01
  0.65000E+00  0.43215E-01  0.77425E-01 -0.18981E+00 -0.18436E+00 -0.75999E-01 -0.34061E-01
  0.70000E+00  0.33761E-01  0.92048E-01 -0.16649E+00 -0.14620E+00 -0.59712E-01  0.95531E-02
  0.75000E+00  0.32749E-01  0.90191E-01 -0.14248E+00 -0.12012E+00 -0.28989E-01  0.55497E-01
  0.80000E+00  0.38012E-01  0.69286E-01 -0.11997E+00 -0.11625E+00  0.74990E-02  0.51214E-01
  0.85000E+00  0.45924E-01  0.40773E-01 -0.10111E+00 -0.11250E+00  0.40704E-01  0.26971E-01
  0.90000E+00  0.52794E-01  0.21802E-01 -0.87179E-01 -0.92167E-01  0.63339E-01  0.18480E-01
  0.95000E+00  0.55972E-01  0.96154E-02 -0.78293E-01 -0.75698E-01  0.71459E-01  0.17836E-01
  0.10000E+01  0.54479E-01  0.17954E-01 -0.73320E-01 -0.66076E-01  0.64766E-01  0.17732E-01
  0.10500E+01  0.49164E-01  0.37885E-01 -0.70216E-01 -0.66687E-01  0.46590E-01  0.27061E-01
  0.11000E+01  0.42167E-01  0.61960E-01 -0.66623E-01 -0.67472E-01  0.22459E-01  0.33830E-01
  0.11500E+01  0.36087E-01  0.76872E-01 -0.60465E-01 -0.70239E-01 -0.15574E-02  0.23743E-01
  0.12000E+01  0.33124E-01  0.73142E-01 -0.50629E-01 -0.54783E-01 -0.20292E-01  0.36795E-02
  0.12500E+01  0.34356E-01  0.57125E-01 -0.37208E-01 -0.30197E-01 -0.30795E-01 -0.64463E-02
  0.13000E+01  0.39505E-01  0.34442E-01 -0.21391E-01 -0.14105E-01 -0.32612E-01 -0.21220E-01
  0.13500E+01  0.47040E-01  0.17115E-01 -0.52148E-02 -0.10510E-01 -0.27673E-01 -0.29984E-01
  0.14000E+01  0.54753E-01  0.14364E-01  0.91083E-02 -0.46568E-02 -0.19292E-01 -0.28376E-01
  0.14500E+01  0.60469E-01  0.40560E-01  0.19796E-01  0.91560E-02 -0.11026E-01 -0.20640E-01
  0.15000E+01  0.62699E-01  0.76722E-01  0.25985E-01  0.28888E-01 -0.56057E-02 -0.16357E-01
  0.15500E+01  0.61053E-01  0.95081E-01  0.27946E-01  0.49862E-01 -0.42315E-02 -0.14470E-01
  0.16000E+01  0.56303E-01  0.89438E-01  0.26994E-01  0.62391E-01 -0.64198E-02 -0.23527E-01
  0.16500E+01  0.50015E-01  0.61660E-01  0.25062E-01  0.45888E-01 -0.10386E-01 -0.26032E-01
  0.17000E+01  0.44109E-01  0.24301E-01  0.24215E-01  0.17119E-01 -0.13745E-01 -0.23463E-01
  0.17500E+01  0.40179E-01 -0.41210E-02  0.26037E-01 -0.10196E-01 -0.14378E-01 -0.24880E-01
  0.18000E+01  0.39032E-01 -0.22878E-02  0.31233E-01 -0.13173E-01 -0.11088E-01 -0.16416E-01
  0.18500E+01  0.40455E-01  0.22531E-01  0.39438E-01  0.92456E-02 -0.40080E-02  0.86031E-02
  0.19000E+01  0.43334E-01  0.61223E-01  0.49383E-01  0.55193E-01  0.56028E-02  0.30683E-01
  0.19500E+01  0.46002E-01  0.90159E-01  0.59231E-01  0.89641E-01  0.15731E-01  0.30049E-01
  0.20000E+01  0.46761E-01  0.85180E-01  0.67070E-01  0.10716E+00  0.24264E-01  0.28280E-01
  0.20500E+01  0.44375E-01  0.68239E-01  0.71400E-01  0.99397E-01  0.29614E-01  0.22095E-01
  0.21000E+01  0.38398E-01  0.47727E-01  0.71460E-01  0.86009E-01  0.31114E-01  0.27646E-01
  0.21500E+01  0.29346E-01  0.15791E-01  0.67468E-01  0.58454E-01  0.29192E-01  0.19250E-01
  0.22000E+01  0.18408E-01  0.74435E-02  0.60357E-01  0.53033E-01  0.25042E-01  0.29843E-01
  0.22500E+01  0.71720E-02  0.59048E-03  0.51584E-01  0.38749E-01  0.20250E-01  0.16359E-01
  0.23000E+01 -0.28337E-02 -0.43048E-02  0.42764E-01  0.42801E-01  0.16278E-01  0.26330E-01
