 Q (1/Ang),Si-Si,Si-O ,O-O  
   0.20000 ,    -0.611613555326851E+01 ,    -0.199575244706179E+00 ,    -0.168141330315036E+01 , 
   0.40000 ,    -0.350407201133958E+01 ,    -0.305555540064241E-01 ,    -0.143539743538619E+01 , 
   0.60000 ,    -0.187955977804863E+01 ,     0.964661915068843E-01 ,    -0.133350203714187E+01 , 
   0.80000 ,    -0.227145995617870E+01 ,     0.102809638710654E+00 ,    -0.140231632835136E+01 , 
   1.00000 ,    -0.348045147598415E+01 ,     0.701810421624098E-01 ,    -0.138529505517021E+01 , 
   1.20000 ,    -0.355846075888535E+01 ,     0.207608182965744E+00 ,    -0.106068466420576E+01 , 
   1.40000 ,    -0.194603904805861E+01 ,     0.653415523417384E+00 ,    -0.550687725269248E+00 , 
   1.60000 ,     0.744377795432297E-01 ,     0.125924834985515E+01 ,    -0.233266921612094E+00 , 
   1.80000 ,     0.933265062414717E+00 ,     0.159010958945455E+01 ,    -0.331803453049585E+00 , 
   2.00000 ,     0.448347979772202E+00 ,     0.122467950999627E+01 ,    -0.646533425281576E+00 , 
   2.20000 ,    -0.203692733291476E+00 ,     0.142159839479185E+00 ,    -0.743046114863658E+00 , 
   2.40000 ,     0.194573972723853E-01 ,    -0.116508409262866E+01 ,    -0.399288274124696E+00 , 
   2.60000 ,     0.886394722442688E+00 ,    -0.200915014259795E+01 ,     0.172344391841019E+00 , 
   2.80000 ,     0.131385548451902E+01 ,    -0.201261685306823E+01 ,     0.551889097330097E+00 , 
   3.00000 ,     0.685553333279710E+00 ,    -0.136431037959491E+01 ,     0.522341884730693E+00 , 
   3.20000 ,    -0.495188697826147E+00 ,    -0.607950739757102E+00 ,     0.231572725619147E+00 , 
   3.40000 ,    -0.123384208557019E+01 ,    -0.177126831536488E+00 ,    -0.185607253372542E-01 , 
   3.60000 ,    -0.108271769826617E+01 ,    -0.101460762976911E+00 ,    -0.806327195985672E-01 , 
   3.80000 ,    -0.424296124027679E+00 ,    -0.106298696869631E+00 ,    -0.412241433351536E-01 , 
   4.00000 ,     0.129667520179105E+00 ,     0.568865248423012E-01 ,    -0.456127474835811E-01 , 
   4.20000 ,     0.372805296397894E+00 ,     0.388611993930537E+00 ,    -0.113411337950621E+00 , 
   4.40000 ,     0.487481698592679E+00 ,     0.697650566064811E+00 ,    -0.146092677694090E+00 , 
   4.60000 ,     0.595496636065370E+00 ,     0.813394942535712E+00 ,    -0.737977335094487E-01 , 
   4.80000 ,     0.549199877691633E+00 ,     0.722373380024584E+00 ,     0.546810085708091E-01 , 
   5.00000 ,     0.191114116202582E+00 ,     0.531612742029400E+00 ,     0.131418511775667E+00 , 
   5.20000 ,    -0.335951809689935E+00 ,     0.347949964807671E+00 ,     0.105780803330390E+00 , 
