   r (Ang),     Ge-Ge,     Ge-O ,     O-O  
   0.06545 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.13090 ,         0.000000000000000 ,         0.000000000000000 ,        11.885420552553267 , 
   0.19635 ,         0.000000000000000 ,         6.304724920629632 ,         0.000000000000000 , 
   0.26180 ,         0.000000000000000 ,         3.560699566573212 ,         3.017542005570518 , 
   0.32725 ,         0.000000000000000 ,         2.283106366606744 ,         1.934835903904020 , 
   0.39271 ,         0.000000000000000 ,         1.587101654384826 ,         0.000000000000000 , 
   0.45816 ,         0.000000000000000 ,         1.166748754411935 ,         0.000000000000000 , 
   0.52361 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.58906 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.65451 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.71996 ,         0.000000000000000 ,         0.472962846764370 ,         0.000000000000000 , 
   0.78541 ,         1.876029425775322 ,         0.000000000000000 ,         0.000000000000000 , 
   0.85086 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.91631 ,         0.000000000000000 ,         0.292059080471156 ,         0.000000000000000 , 
   0.98176 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.04721 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.11267 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.17812 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.24357 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.30902 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.37447 ,         0.000000000000000 ,         0.129834690411606 ,         0.000000000000000 , 
   1.43992 ,         0.000000000000000 ,         0.118301775925052 ,         0.401022969237466 , 
   1.50537 ,         0.000000000000000 ,         1.082398828711025 ,         1.467659428760712 , 
   1.57082 ,         0.000000000000000 ,         2.783454427565693 ,         1.684899774555504 , 
   1.63627 ,         1.297288979002346 ,         5.038904932565611 ,         3.493847796077850 , 
   1.70172 ,         3.198476398043173 ,         3.557627349518359 ,         2.153527451282300 , 
   1.76718 ,         1.112237356440347 ,         3.534652615806188 ,         2.462940617416741 , 
   1.83263 ,         1.378958391822949 ,         3.067598117402747 ,         2.166382851273127 , 
   1.89808 ,         0.321376684550236 ,         2.927796066877150 ,         1.846461847458983 , 
   1.96353 ,         1.201242432058339 ,         2.226879508582727 ,         1.240150815917741 , 
   2.02898 ,         0.843749642894008 ,         0.536281552686870 ,         0.353481249416957 , 
   2.09443 ,         0.000000000000000 ,         0.111842300650766 ,         0.189563221441976 , 
   2.15988 ,         0.000000000000000 ,         0.000000000000000 ,         0.044562369506092 , 
   2.22533 ,         0.000000000000000 ,         0.000000000000000 ,         0.041979788587552 , 
   2.29078 ,         0.000000000000000 ,         0.000000000000000 ,         0.039615373585138 , 
   2.35623 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   2.42168 ,         0.000000000000000 ,         0.041829388054576 ,         0.000000000000000 , 
   2.48714 ,         0.000000000000000 ,         0.039656934407561 ,         0.168037857659158 , 
   2.55259 ,         0.177705301986826 ,         0.075298856774079 ,         0.223344066702776 , 
   2.61804 ,         0.337863119333944 ,         0.250534092726442 ,         0.515627067354662 , 
   2.68349 ,         0.160791893975389 ,         0.579123346945259 ,         0.721738966781230 , 
   2.74894 ,         0.459679939132533 ,         1.038824721203465 ,         1.210494908182004 , 
   2.81439 ,         2.046562183077987 ,         1.269810071219696 ,         1.312329548594146 , 
   2.87984 ,         0.698070605854933 ,         1.390225359117875 ,         1.554164663997625 , 
   2.94529 ,         1.067825974952646 ,         1.413964479545347 ,         1.198274982665549 , 
   3.01074 ,         1.149643362126956 ,         0.974274035700810 ,         0.940330401688635 , 
   3.07619 ,         1.223605144353062 ,         1.114725025575883 ,         1.098467703563148 , 
   3.14164 ,         1.055839050037607 ,         1.466443125052232 ,         1.621891994096837 , 
   3.20710 ,         1.125760898610187 ,         1.311797657278820 ,         1.131905528622711 , 
   3.27255 ,         0.973064027682070 ,         1.076600972247112 ,         0.892961498798542 , 
   3.33800 ,         0.935279976115394 ,         0.814627097840621 ,         0.820970964383585 , 
   3.40345 ,         0.699731398198981 ,         0.741240887922649 ,         0.879438341603143 , 
   3.46890 ,         0.673576319088633 ,         0.631987466457252 ,         0.777458611005368 , 
   3.53435 ,         0.741555140094426 ,         0.706991129327313 ,         1.065146710850943 , 
   3.59980 ,         0.536126532684862 ,         0.814033930277157 ,         0.721945740293103 , 
   3.66525 ,         1.034301238965440 ,         0.766960664487084 ,         0.974949997229345 , 
   3.73070 ,         0.499164617276493 ,         0.669783031656311 ,         0.746858866699723 , 
   3.79615 ,         0.482100851222304 ,         0.800096751675434 ,         0.750180870665751 , 
   3.86161 ,         0.931794664639513 ,         0.756754141479831 ,         0.655258744464850 , 
   3.92706 ,         0.900994387305534 ,         1.049887527580601 ,         0.781888502820684 , 
   3.99251 ,         0.944337746694554 ,         0.969577543053405 ,         0.795590935246942 , 
   4.05796 ,         1.054755645201131 ,         1.072632859526574 ,         0.921636049263653 , 
   4.12341 ,         1.157742822898109 ,         1.197565482309859 ,         1.210526677033654 , 
   4.18886 ,         1.121846742046550 ,         1.034604423123687 ,         0.995267653943996 , 
   4.25431 ,         1.343499189768963 ,         0.975907401769222 ,         0.953393530447804 , 
   4.31976 ,         0.868730860679844 ,         1.078025583773413 ,         1.247817955587250 , 
   4.38521 ,         1.806412710742096 ,         1.467072469882352 ,         1.135170297256057 , 
   4.45066 ,         1.519851264328134 ,         1.560473103857113 ,         1.248966231900702 , 
   4.51611 ,         1.419343845573282 ,         1.118635403714536 ,         1.304768832471848 , 
   4.58157 ,         1.213591729692381 ,         0.958344778840286 ,         1.099382704126413 , 
   4.64702 ,         0.965166015720490 ,         1.033781867120581 ,         1.010868840078795 , 
   4.71247 ,         1.251389944412750 ,         0.872703086234174 ,         1.095325692870611 , 
   4.77792 ,         1.065173066357193 ,         1.203585385714343 ,         1.029094647289049 , 
   4.84337 ,         1.530188869662495 ,         1.171276335444228 ,         1.098957820786049 , 
   4.90882 ,         1.009122122938567 ,         1.140250986371262 ,         0.957686588129616 , 
   4.97427 ,         0.795552535769828 ,         0.912148969227619 ,         1.016673040498728 , 
   5.03972 ,         1.230919361951248 ,         0.859634519881208 ,         1.047735845979762 , 
   5.10517 ,         0.577565963143611 ,         0.922448898110722 ,         1.132720023622644 , 
   5.17062 ,         1.429247205299061 ,         1.385569645609644 ,         1.189764035123333 , 
   5.23607 ,         1.098098030055648 ,         1.181135429981630 ,         1.145040125367399 , 
   5.30153 ,         1.483133826704929 ,         1.091053015172529 ,         1.161324226319234 , 
   5.36698 ,         1.085385637242615 ,         1.175323430159140 ,         1.140389965396366 , 
   5.43243 ,         1.098626287491501 ,         0.906100675972863 ,         0.922867272216180 , 
   5.49788 ,         0.804468395125674 ,         1.030745421518973 ,         1.024830293649586 , 
   5.56333 ,         1.272006849097797 ,         1.339538618504036 ,         1.135202219071217 , 
   5.62878 ,         1.352238577345269 ,         1.192422932381880 ,         1.122079690938265 , 
   5.69423 ,         0.964214971908415 ,         1.172734782217548 ,         1.006666816884390 , 
   5.75968 ,         0.942425740979343 ,         0.983542243802987 ,         0.996452254139639 , 
   5.82513 ,         0.750743346318809 ,         0.918185718244306 ,         0.968059145086082 , 
   5.89058 ,         0.934376565679724 ,         1.011015805782389 ,         0.952658013034254 , 
   5.95604 ,         1.109801111203527 ,         0.975086968343079 ,         0.961138735474606 , 
   6.02149 ,         1.149677318649974 ,         0.974302812415232 ,         1.083705458724569 , 
   6.08694 ,         1.187591029225546 ,         1.132237210066729 ,         1.066136732642871 , 
   6.15239 ,         0.917729822932162 ,         0.998095993866900 ,         0.834859074773106 , 
   6.21784 ,         0.868560691386049 ,         0.888358392709284 ,         0.935680147284597 , 
   6.28329 ,         0.733241452254106 ,         0.789166647765012 ,         1.074269292299896 , 
   6.34874 ,         1.120393770288071 ,         1.040783000430574 ,         0.969705640206898 , 
   6.41419 ,         0.759908386914155 ,         1.079279802506764 ,         1.081402180618258 , 
   6.47964 ,         0.965266770686860 ,         1.040057416357512 ,         1.089376459715543 , 
   6.54509 ,         1.027148818195600 ,         0.984999981766521 ,         1.004606800481227 , 
   6.61054 ,         0.900919557756350 ,         0.937522221742962 ,         0.846843374963195 , 
   6.67600 ,         0.909321826372607 ,         0.930238430126941 ,         0.881632049413258 , 
   6.74145 ,         0.942708138899250 ,         1.009427519320659 ,         0.969811629185080 , 
   6.80690 ,         0.874684464499577 ,         1.011287728325782 ,         0.955738247108846 , 
   6.87235 ,         1.127792868909642 ,         1.049254603536052 ,         1.030061995416329 , 
   6.93780 ,         1.323125779624456 ,         1.009163730222043 ,         1.019357303254589 , 
   7.00325 ,         0.802715398056818 ,         0.870341969478354 ,         0.894419226378008 , 
   7.06870 ,         0.973311982231440 ,         0.844479726310571 ,         0.919540892366162 , 
   7.13415 ,         0.955535093187016 ,         0.886896979148562 ,         1.008951519204563 , 
   7.19960 ,         1.318004956940837 ,         1.074357674610636 ,         0.946570638423468 , 
   7.26505 ,         1.031103726179246 ,         0.976071864846924 ,         1.110783962416596 , 
   7.33050 ,         1.077418596139459 ,         1.091114595242927 ,         1.079430437815675 , 
   7.39596 ,         1.164277116238468 ,         1.004615077185735 ,         0.824763437308204 , 
   7.46141 ,         0.894353809917847 ,         0.824025238739837 ,         0.896247880438507 , 
   7.52686 ,         1.103694137824833 ,         0.814087013147632 ,         0.946783489866972 , 
   7.59231 ,         1.024483342326223 ,         1.004395433653160 ,         1.053158096189035 , 
   7.65776 ,         1.224251699251003 ,         1.158822172951503 ,         1.084866869372697 , 
   7.72321 ,         0.970636869322796 ,         1.163941669569285 ,         1.070042799777716 , 
   7.78866 ,         0.954392283183823 ,         1.006964739460898 ,         1.055561703607504 , 
   7.85411 ,         0.656986479828205 ,         0.866967630766033 ,         0.856047963825892 , 
   7.91956 ,         0.683096255713800 ,         0.844873976375291 ,         0.981178189764149 , 
   7.98501 ,         1.234923949225718 ,         1.142735583624247 ,         0.974941332830137 , 
   8.05046 ,         1.125592855159921 ,         1.207506459496956 ,         1.119546661613192 , 
   8.11592 ,         1.177829620515035 ,         1.232802948363511 ,         1.032122904692683 , 
   8.18137 ,         1.037964024884838 ,         0.835649003085251 ,         0.934918041661688 , 
   8.24682 ,         0.698061811864738 ,         0.717829167843545 ,         0.773404222231569 , 
   8.31227 ,         0.418970761559803 ,         0.734974132566773 ,         0.827470263063386 , 
   8.37772 ,         1.699293787914337 ,         1.611351070076743 ,         1.436643385762749 , 
