Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
114343.889        3301        4912  0.172E+01  0.236E+01
114355.878        3808        6330  0.165E+01  0.233E+01
114407.868        4527        8387  0.158E+01  0.230E+01
114419.868        6489       14566  0.139E+01  0.220E+01
114431.865        8180       20271  0.126E+01  0.212E+01
114443.904        9096       23601  0.119E+01  0.208E+01
114455.881        9202       24004  0.118E+01  0.207E+01
114507.887        9313       24420  0.118E+01  0.207E+01
114519.909        9415       24813  0.117E+01  0.206E+01
114531.887        9519       25206  0.116E+01  0.206E+01
114543.875        9631       25613  0.115E+01  0.205E+01
114555.914        9761       26026  0.115E+01  0.204E+01
114607.883        9871       26463  0.114E+01  0.204E+01
114619.869        9974       26912  0.113E+01  0.203E+01
114631.885       10099       27373  0.112E+01  0.203E+01
114643.881       10236       27851  0.111E+01  0.202E+01
114655.897       10324       28150  0.111E+01  0.202E+01
114707.908       10401       28482  0.110E+01  0.201E+01
114719.869       10493       28852  0.110E+01  0.201E+01
114731.875       10600       29271  0.109E+01  0.200E+01
114743.886       10722       29711  0.108E+01  0.200E+01
114755.889       10812       30080  0.108E+01  0.199E+01
114807.882       10935       30529  0.107E+01  0.199E+01
114819.902       11056       30916  0.106E+01  0.198E+01
114831.910       11152       31295  0.105E+01  0.198E+01
114843.873       11296       31768  0.105E+01  0.197E+01
114855.910       11423       32207  0.104E+01  0.197E+01
114907.901       11541       32640  0.103E+01  0.196E+01
114919.876       11643       33030  0.103E+01  0.196E+01
114931.906       11746       33415  0.102E+01  0.195E+01
114943.886       11863       33818  0.101E+01  0.195E+01
114955.898       11992       34262  0.101E+01  0.194E+01
115007.866       12098       34718  0.100E+01  0.194E+01
115019.878       12221       35167  0.995E+00  0.193E+01
115031.875       12305       35497  0.991E+00  0.193E+01
115043.949       12367       35720  0.988E+00  0.192E+01
115055.962       12411       35861  0.986E+00  0.192E+01
115107.871       12506       36203  0.981E+00  0.192E+01
115119.910       12615       36607  0.976E+00  0.191E+01
115131.916       12718       37011  0.969E+00  0.191E+01
115143.901       12816       37352  0.964E+00  0.191E+01
115155.968       12882       37619  0.960E+00  0.190E+01
115207.924       12921       37758  0.958E+00  0.190E+01
115219.910       13009       38070  0.954E+00  0.190E+01
115231.881       13131       38456  0.948E+00  0.189E+01
115243.886       13247       38893  0.942E+00  0.189E+01
115255.876       13360       39331  0.936E+00  0.188E+01
115307.886       13455       39686  0.931E+00  0.188E+01
115319.918       13523       39950  0.927E+00  0.187E+01
115331.871       13571       40090  0.925E+00  0.187E+01
115343.888       13631       40369  0.923E+00  0.187E+01
115355.899       13730       40792  0.918E+00  0.186E+01
115407.894       13837       41228  0.912E+00  0.186E+01
115419.876       13965       41770  0.907E+00  0.185E+01
115431.882       14036       42095  0.904E+00  0.185E+01
115443.892       14104       42408  0.901E+00  0.185E+01
115455.924       14147       42561  0.899E+00  0.185E+01
115507.877       14198       42825  0.897E+00  0.184E+01
115519.879       14315       43266  0.891E+00  0.184E+01
115531.865       14428       43739  0.885E+00  0.183E+01
115543.893       14549       44201  0.880E+00  0.183E+01
115555.890       14663       44650  0.874E+00  0.182E+01
115607.940       14731       44968  0.871E+00  0.182E+01
115619.922       14776       45139  0.869E+00  0.182E+01
115631.877       14848       45381  0.866E+00  0.181E+01
115643.903       14956       45812  0.862E+00  0.181E+01
115655.907       15081       46259  0.857E+00  0.181E+01
115707.886       15206       46726  0.852E+00  0.180E+01
115719.892       15284       47091  0.848E+00  0.180E+01
115731.908       15361       47394  0.845E+00  0.179E+01
115743.916       15396       47533  0.844E+00  0.179E+01
115755.881       15452       47744  0.842E+00  0.179E+01
115807.915       15552       48159  0.838E+00  0.179E+01
115819.901       15659       48587  0.834E+00  0.178E+01
115831.867       16650       52648  0.795E+00  0.174E+01
115843.869       17440       55851  0.765E+00  0.171E+01
115855.888       18654       60463  0.721E+00  0.166E+01
115907.934       18927       61586  0.712E+00  0.164E+01
115919.867       19343       63292  0.699E+00  0.163E+01
115931.901       20765       69359  0.656E+00  0.157E+01
115943.865       21994       74181  0.622E+00  0.153E+01
115955.866       23353       79868  0.589E+00  0.148E+01
120007.867       24438       84855  0.563E+00  0.145E+01
120019.888       25651       89881  0.537E+00  0.141E+01
120031.948       26050       91638  0.527E+00  0.139E+01
120043.867       26202       92251  0.523E+00  0.139E+01
120055.881       27229       96786  0.502E+00  0.135E+01
120107.869       28373      101704  0.479E+00  0.132E+01
