   1.2000000e+01   6.7240000e-01   6.7490000e-01   6.7740000e-01   6.8090000e-01   6.8180000e-01
   2.4000000e+01   6.7270000e-01   6.7520000e-01   6.7770000e-01   6.8110000e-01   6.8200000e-01
   3.6000000e+01   6.7300000e-01   6.7560000e-01   6.7810000e-01   6.8150000e-01   6.8230000e-01
   4.8000000e+01   6.7370000e-01   6.7620000e-01   6.7860000e-01   6.8200000e-01   6.8290000e-01
   6.0000000e+01   6.7440000e-01   6.7690000e-01   6.7940000e-01   6.8280000e-01   6.8360000e-01
   7.2000000e+01   6.7500000e-01   6.7750000e-01   6.8000000e-01   6.8340000e-01   6.8420000e-01
   8.4000000e+01   6.7560000e-01   6.7810000e-01   6.8060000e-01   6.8400000e-01   6.8480000e-01
   9.6000000e+01   6.7640000e-01   6.7880000e-01   6.8130000e-01   6.8460000e-01   6.8550000e-01
   1.0800000e+02   6.7720000e-01   6.7960000e-01   6.8200000e-01   6.8530000e-01   6.8620000e-01
   1.2000000e+02   6.7790000e-01   6.8030000e-01   6.8270000e-01   6.8600000e-01   6.8680000e-01
