   1.2000000e+01   4.2500000e-02   4.2580000e-02   4.2670000e-02   4.2790000e-02   4.2820000e-02   4.9050000e-02   0.0000000e+00
   2.4000000e+01   4.2530000e-02   4.2620000e-02   4.2710000e-02   4.2820000e-02   4.2850000e-02   4.9070000e-02   0.0000000e+00
   3.6000000e+01   4.2600000e-02   4.2680000e-02   4.2760000e-02   4.2880000e-02   4.2910000e-02   4.9100000e-02   0.0000000e+00
   4.8000000e+01   4.2690000e-02   4.2770000e-02   4.2860000e-02   4.2970000e-02   4.3000000e-02   4.9120000e-02   0.0000000e+00
   6.0000000e+01   4.2790000e-02   4.2870000e-02   4.2960000e-02   4.3070000e-02   4.3100000e-02   4.9130000e-02   0.0000000e+00
   7.2000000e+01   4.2910000e-02   4.2990000e-02   4.3070000e-02   4.3190000e-02   4.3220000e-02   4.9130000e-02   0.0000000e+00
   8.4000000e+01   4.3040000e-02   4.3120000e-02   4.3200000e-02   4.3310000e-02   4.3340000e-02   4.9150000e-02   0.0000000e+00
   9.6000000e+01   4.3200000e-02   4.3270000e-02   4.3340000e-02   4.3450000e-02   4.3470000e-02   4.9170000e-02   0.0000000e+00
   1.0800000e+02   4.3340000e-02   4.3420000e-02   4.3490000e-02   4.3590000e-02   4.3620000e-02   4.9150000e-02   0.0000000e+00
   1.2000000e+02   4.3470000e-02   4.3540000e-02   4.3610000e-02   4.3720000e-02   4.3740000e-02   4.9170000e-02   0.0000000e+00
