angle  350K 500K 600K 700K 750K 800K 850K 900K 1000K 
-4.0 0.9326331039478449 0.9331763853676205 0.9335385729808041 0.9338412934398812 0.9340271325032522 0.9342129715666234 0.9343988106299944 0.9345846496933656 0.9347704887567366 0.9360713622003345 
1.0 0.9326331039478449 0.9331763853676205 0.9333574791742123 0.9338412934398812 0.9340271325032522 0.9342129715666234 0.9343988106299944 0.9343988106299944 0.9347704887567366 0.9358855231369635 
6.0 0.9328141977544369 0.9331763853676205 0.9335385729808041 0.933853586027499 0.9340393905611297 0.9342251950947603 0.9342251950947603 0.9344109996283909 0.9347826086956522 0.9358974358974359 
11.0 0.9328263624841572 0.9333695455368459 0.9335506065544088 0.9338658740479286 0.9340516440646479 0.9342374140813673 0.9342374140813673 0.9344231840980864 0.9347947241315251 0.9359093442318409 
16.0 0.9326696832579185 0.9332126696832579 0.933393665158371 0.9338781575037147 0.9340638930163447 0.9342496285289748 0.9342496285289748 0.9344353640416048 0.9348068350668648 0.9359212481426449 
21.0 0.9325131174235571 0.9330559073638501 0.9334177673240456 0.9337170441886372 0.9339027107315262 0.9340883772744152 0.9342740438173041 0.9342740438173041 0.9346453769030821 0.9357593761604159 
26.0 0.9325375293904866 0.933080122987882 0.9332609875203473 0.9337416481069043 0.9337416481069043 0.9339272457312546 0.9341128433556051 0.9342984409799555 0.9344840386043058 0.9357832219747587 
31.0 0.9325619237027662 0.9329235219670946 0.933285120231423 0.9335807050092764 0.9337662337662337 0.9339517625231911 0.9341372912801483 0.9341372912801483 0.934508348794063 0.935621521335807 
36.0 0.9325863003795409 0.9329477679378276 0.9333092354961142 0.9337785197551475 0.93396401409757 0.93396401409757 0.9341495084399927 0.9343350027824151 0.9347059914672602 0.9358189575217957 
41.0 0.9326106594399277 0.9329719963866304 0.9333333333333332 0.9338030780641573 0.9339885036157982 0.9341739291674394 0.9341739291674394 0.9343593547190803 0.9347302058223624 0.9358427591322085 
46.0 0.932635000903016 0.9331768105472277 0.9333574137619649 0.9338276181649676 0.9340129749768303 0.9340129749768303 0.9341983317886933 0.9343836886005562 0.9347544022242819 0.9358665430954588 
51.0 0.9328277356446371 0.9333694474539546 0.9335500180570604 0.9340252038547072 0.9342105263157895 0.9342105263157895 0.9343958487768718 0.934581171237954 0.9349518161601186 0.9360637509266123 
56.0 0.9330204007943671 0.9335620148041163 0.933742552807366 0.9342227163238837 0.9344080044469151 0.9344080044469151 0.9345932925699463 0.9347785806929777 0.9351491569390403 0.9362608856772281 
61.0 0.9332129963898917 0.9337545126353791 0.9339350180505416 0.93442015561319 0.934605409410893 0.934605409410893 0.9347906632085957 0.9349759170062987 0.9353464246017044 0.9364579473879214 
66.0 0.9337545126353791 0.9341155234657039 0.9344765342960288 0.9347906632085957 0.9349759170062987 0.9351611708040014 0.9353464246017044 0.9353464246017044 0.93571693219711 0.9368284549833271 
71.0 0.9339469409853817 0.9343078866630571 0.9346688323407327 0.9351611708040014 0.9353464246017044 0.9355316783994072 0.9355316783994072 0.93571693219711 0.9360874397925157 0.9371989625787329 
76.0 0.9343078866630571 0.9346688323407327 0.9350297780184083 0.9355316783994072 0.93571693219711 0.9359021859948129 0.9359021859948129 0.9360874397925157 0.9364579473879214 0.9375694701741386 
81.0 0.9348493051795704 0.935210250857246 0.9355711965349214 0.9359140581589183 0.9359140581589183 0.9360992776440081 0.9362844971290979 0.9364697166141878 0.9366549360992775 0.9377662530098166 
86.0 0.935210250857246 0.9355711965349214 0.935932142212597 0.9362844971290979 0.9364697166141878 0.9364697166141878 0.9366549360992775 0.9368401555843674 0.9370253750694573 0.938321911465086 
91.0 0.9355828220858896 0.935943702634428 0.9363045831829665 0.9364814814814815 0.9366666666666666 0.9368518518518519 0.937037037037037 0.937037037037037 0.9374074074074074 0.9385185185185185 
96.0 0.935943702634428 0.9363045831829665 0.9366654637315048 0.9370253750694573 0.937210594554547 0.9373958140396369 0.9375810335247267 0.9375810335247267 0.9379514724949064 0.9390627894054454 
101.0 0.9363045831829665 0.9368459040057742 0.9370263442800433 0.9372222222222223 0.9374074074074074 0.9375925925925926 0.9377777777777777 0.9377777777777777 0.9381481481481481 0.9392592592592592 
106.0 0.9368459040057742 0.9372067845543126 0.937567665102851 0.9377777777777777 0.937962962962963 0.937962962962963 0.9381481481481481 0.9383333333333334 0.9385185185185185 0.9396296296296296 
111.0 0.9370377052137832 0.937398520656684 0.9377593360995851 0.9381481481481481 0.9383333333333334 0.9383333333333334 0.9385185185185185 0.9387037037037037 0.9388888888888889 0.9400000000000001 
116.0 0.937398520656684 0.9377593360995851 0.938120151542486 0.9383447509720422 0.938529901870024 0.938529901870024 0.9387150527680059 0.9389002036659877 0.9390853545639696 0.9401962599518607 
121.0 0.9375901875901875 0.9379509379509379 0.9383116883116882 0.9387150527680059 0.9387150527680059 0.9389002036659877 0.9390853545639696 0.9390853545639696 0.9394556563599333 0.9405665617478244 
126.0 0.9379509379509379 0.9383116883116882 0.9386724386724387 0.9387263976305072 0.93891151425398 0.9390966308774528 0.9390966308774528 0.9392817475009256 0.9396519807478712 0.9407626804887078 
