   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   1    1    0   2.138291    -0.764800     0.000000       0.7648   19.65398  100.00000   12
   2    0    0   1.512000    -0.764800     0.000000       0.7648   27.93471   25.38370    6
   2    1    1   1.234543    -0.764800     0.000000       0.7648   34.38890   68.76167   24
   2    2    0   1.069145    -0.764800     0.000000       0.7648   39.91797   26.20727   12
   3    1    0   0.956273    -0.764800     0.000000       0.7648   44.87036   42.64048   24
   2    2    2   0.872954    -0.764800     0.000000       0.7648   49.42477   12.05182    8
   3    2    1   0.808198    -0.764800     0.000000       0.7648   53.68765   63.10454   48
   4    0    0   0.756000    -0.764800     0.000000       0.7648   57.72877    7.03191    6
   3    3    0   0.712764    -0.764800     0.000000       0.7648   61.59709   12.74555   12
   4    1    1   0.712764    -0.764800     0.000000       0.7648   61.59709   25.49111   24
   4    2    0   0.676187    -0.764800     0.000000       0.7648   65.32883   23.40873   24
   3    3    2   0.644719    -0.764800     0.000000       0.7648   68.95195   21.73197   24
   4    2    2   0.617271    -0.764800     0.000000       0.7648   72.48883   20.36216   24
   4    3    1   0.593055    -0.764800     0.000000       0.7648   75.95802   38.46280   48
   5    1    0   0.593055    -0.764800     0.000000       0.7648   75.95802   19.23140   24
   5    2    1   0.552104    -0.764800     0.000000       0.7648   82.75487   35.01653   48
   4    4    0   0.534573    -0.764800     0.000000       0.7648   86.10917    8.42790   12
   4    3    3   0.518612    -0.764800     0.000000       0.7648   89.45014   16.31559   24
   5    3    0   0.518612    -0.764800     0.000000       0.7648   89.45014   16.31559   24
   4    4    2   0.504000    -0.764800     0.000000       0.7648   92.78925   15.87398   24
   6    0    0   0.504000    -0.764800     0.000000       0.7648   92.78925    3.96849    6
   5    3    2   0.490558    -0.764800     0.000000       0.7648   96.13788   31.04254   48
   6    1    1   0.490558    -0.764800     0.000000       0.7648   96.13788   15.52127   24
   6    2    0   0.478136    -0.764800     0.000000       0.7648   99.50771   15.25104   24
   5    4    1   0.466613    -0.764800     0.000000       0.7648  102.91113   30.11956   48
   6    2    2   0.455885    -0.764800     0.000000       0.7648  106.36160   14.94685   24
   6    3    1   0.445864    -0.764800     0.000000       0.7648  109.87428   29.82922   48
   4    4    4   0.436477    -0.764800     0.000000       0.7648  113.46673    4.98968    8
   5    4    3   0.427658    -0.764800     0.000000       0.7648  117.15991   30.24169   48
   5    5    0   0.427658    -0.764800     0.000000       0.7648  117.15991    7.56042   12
   7    1    0   0.427658    -0.764800     0.000000       0.7648  117.15991   15.12085   24
   6    4    0   0.419353    -0.764800     0.000000       0.7648  120.97971   15.38731   24
   5    5    2   0.411514    -0.764800     0.000000       0.7648  124.95924   15.79591   24
   6    3    3   0.411514    -0.764800     0.000000       0.7648  124.95924   15.79591   24
   7    2    1   0.411514    -0.764800     0.000000       0.7648  124.95924   31.59182   48
   6    4    2   0.404099    -0.764800     0.000000       0.7648  129.14259   32.78182   48
