Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
181215.996       40738       46146
181227.996       86451       98472
181240.004      134387      153603
181251.995      197663      226375
181304.019      276589      317426
181316.011      322737      370676
181328.008      377084      434132
181340.021      443030      510703
181352.004      493320      568918
181404.022      542485      626003
181416.018      595905      688236
181428.002      647330      748533
181439.999      697558      807303
181452.019      760330      880948
181503.994      813280      942787
181515.997      892672     1036002
181528.012      958280     1112333
181539.995     1031840     1198329
181551.996     1097329     1274632
181603.994     1149695     1335782
181615.994     1208904     1405428
181627.997     1253917     1458100
181640.031     1298748     1510607
181652.002     1365600     1588930
181704.009     1413851     1645673
181715.994     1486088     1730819
181728.002     1549148     1804775
181740.013     1605763     1871301
181751.995     1666767     1942955
181804.001     1710723     1994667
181816.003     1758564     2050684
181827.998     1803745     2103728
181840.001     1855146     2164194
181851.994     1902969     2220480
181903.996     1960460     2288132
181915.996     2009414     2345794
181928.000     2071650     2419140
181940.004     2119435     2475579
181952.009     2162608     2526302
182004.001     2216642     2590278
182016.028     2255989     2636522
182027.995     2320374     2712305
182039.995     2369645     2770201
182052.001     2418737     2828072
182103.996     2466568     2884590
182115.995     2521092     2949082
182127.998     2572625     3009753
182139.994     2636299     3084417
182151.997     2702434     3162706
182204.005     2747931     3216465
182215.995     2803245     3281810
182228.024     2845998     3332684
182240.000     2892195     3387113
182252.008     2956904     3463452
182303.997     3022737     3541501
182316.004     3103217     3636408
182328.000     3167421     3711945
182339.996     3222645     3777189
182352.000     3306313     3875946
182404.004     3390420     3975455
182416.009     3446708     4042234
182428.003     3499461     4104729
182440.013     3560493     4176802
182452.018     3629634     4258312
182503.997     3677999     4315722
182516.031     3751107     4402204
182528.007     3849494     4518640
182539.998     3922431     4604828
182552.033     3970088     4660959
182603.994     4057818     4764628
182616.037     4105729     4821856
182627.999     4159114     4885010
182640.010     4216713     4952803
182651.999     4275122     5022164
182703.998     4329409     5086290
182716.020     4358198     5119936
182728.006     4375290     5140083
182739.999     4442704     5219601
182752.011     4516974     5306704
182803.999     4561786     5359237
182816.002     4638428     5449510
182828.004     4695868     5517600
182840.036     4755862     5588786
182852.011     4811699     5655006
182904.003     4859622     5711800
182916.009     4901197     5760857
182927.998     4942811     5809874
182939.996     4980384     5854100
182952.016     5036870     5920683
183004.011     5083899     5975806
183016.000     5139279     6040763
183028.004     5216042     6130800
183040.008     5278663     6204862
183051.996     5342724     6281085
183104.011     5405482     6355853
183116.003     5457446     6417585
183128.009     5512824     6482987
183140.019     5560022     6538513
183152.022     5611725     6599455
183204.020     5674932     6674273
183216.003     5748305     6760600
183228.019     5790432     6810348
183240.000     5842771     6872164
183251.998     5889851     6927855
183304.006     5944220     6991900
183316.008     5992620     7049101
183327.999     6044109     7109813
183339.999     6126776     7207758
183352.003     6189651     7282324
183404.006     6229599     7329308
183416.000     6261590     7366925
183428.020     6292928     7404100
183440.033     6339109     7458936
183452.029     6391575     7520803
183503.994     6515937     7667877
183515.999     6695747     7881470
183527.995     6859296     8074778
183539.996     7030022     8276668
183552.000     7202195     8479424
183604.000     7381430     8690772
183615.995     7553337     8893529
183627.996     7729205     9101649
183639.996     7898161     9300705
183651.996     8067325     9499374
183704.000     8245682     9709005
183715.996     8419732     9914544
183728.001     8578500    10102608
183739.996     8751208    10305793
183752.000     8913549    10497658
183803.996     9085202    10699888
183815.996     9242712    10885199
183827.994     9421132    11095693
183839.996     9583901    11288205
183851.995     9757035    11493055
183904.000     9932697    11700876
183916.000    10110833    11911836
183927.993    10282494    12114833
183939.994    10472113    12339508
183951.995    10659816    12562247
184004.000    10843845    12780542
184016.000    11008596    12975346
184028.000    11180878    13178901
184040.000    11345983    13374112
184051.999    11538400    13601078
184103.994    11722986    13818405
184116.000    11900088    14028223
184128.001    12066227    14224329
184139.996    12231446    14420042
184151.996    12403892    14623089
184204.000    12576116    14826968
