r (Ang), PDF (RMC), PDF (Expt)
   6.5450934118047310E-002  ,   -5.1766922827516382E-002  ,   -5.1848715021545887E-002
  0.13090186823609462       ,  -0.10353384565503276       ,  -0.10369743004309177     
  0.19635280235414193       ,  -0.15530076848254912       ,  -0.15554614506463765     
  0.26180373647218924       ,  -0.20706769131006553       ,  -0.20739486008618355     
  0.32725467059023655       ,  -0.25883461413758185       ,  -0.25924357510772938     
  0.39270560470828386       ,  -0.31060153696509823       ,  -0.31109229012927531     
  0.45815653882633117       ,  -0.36236845979261467       ,  -0.36294100515082123     
  0.52360747294437848       ,  -0.41413538262013105       ,  -0.41478972017236709     
  0.58905840706242585       ,  -0.46590230544764749       ,  -0.46663843519391296     
  0.65450934118047310       ,  -0.51766922827516371       ,  -0.51848715021545877     
  0.71996027529852036       ,  -0.56943615110268020       ,  -0.57033586523700464     
  0.78541120941656772       ,  -0.62120307393019647       ,  -0.62218458025855061     
  0.85086214353461509       ,  -0.67296999675771296       ,  -0.67403329528009648     
  0.91631307765266234       ,  -0.72473691958522934       ,  -0.72588201030164246     
  0.98176401177070960       ,  -0.77650384241274573       ,  -0.77773072532318821     
   1.0472149458887570       ,  -0.82827076524026211       ,  -0.82957944034473419     
   1.1126658800068043       ,  -0.88003768806777838       ,  -0.88142815536627983     
   1.1781168141248517       ,  -0.96127360640292525       ,  -0.93327687038782592     
   1.2435677482428988       ,  -0.86879969592981043       ,  -0.85344956023038154     
   1.3090186823609462       ,  -0.65183532516292919       ,  -0.61311182413836374     
   1.3744696164789936       ,  -0.30752045797388233       ,  -0.26750954389657350     
   1.4399205505970407       ,   0.14087033410996710       ,   0.16943707815750478     
   1.5053714847150881       ,   0.64354449289302496       ,   0.65652428842499988     
   1.5708224188331354       ,    1.1291073781203149       ,    1.1273298044970983     
   1.6362733529511828       ,    1.5157449661377305       ,    1.5020358083320751     
   1.7017242870692302       ,    1.7280901077102857       ,    1.7065797415628750     
   1.7671752211872773       ,    1.7162003060902171       ,    1.6929626417582717     
   1.8326261553053247       ,    1.4703998080591680       ,    1.4532893752203726     
   1.8980770894233721       ,    1.0256639633417752       ,    1.0222270836597473     
   1.9635280235414192       ,   0.45274161736005286       ,   0.46716572453322697     
   2.0289789576594668       ,  -0.16107990413904094       ,  -0.12977025408318948     
   2.0944298917775139       ,  -0.73393343315024084       ,  -0.69092222213399934     
   2.1598808258955611       ,   -1.2055601220501773       ,   -1.1570596592044544     
   2.2253317600136087       ,   -1.5428207424946634       ,   -1.4928736855987419     
   2.2907826941316558       ,   -1.7354393580609608       ,   -1.6848479947296064     
   2.3562336282497034       ,   -1.7873798342456280       ,   -1.7351977772324025     
   2.4216845623677505       ,   -1.7099251102651056       ,   -1.6560100167904930     
   2.4871354964857977       ,   -1.5195234957021260       ,   -1.4660183577295949     
   2.5525864306038453       ,   -1.2392621429388475       ,   -1.1899440940267434     
   2.6180373647218924       ,  -0.90033720750395319       ,  -0.85855649206072704     
   2.6834882988399396       ,  -0.54044287005003233       ,  -0.50739012863794208     
   2.7489392329579871       ,  -0.19865561445774921       ,  -0.17321263150312888     
   2.8143901670760343       ,    9.1069392364381829E-002  ,   0.11106481814886242     
   2.8798411011940814       ,   0.30496910310658298       ,   0.32130350932003426     
   2.9452920353121290       ,   0.43151283134988683       ,   0.44516945067403546     
   3.0107429694301762       ,   0.47066932574056514       ,   0.48246235942253485     
   3.0761939035482238       ,   0.43170857337039192       ,   0.44305594952267013     
   3.1416448376662709       ,   0.33063730383187995       ,   0.34352090034323768     
   3.2070957717843180       ,   0.18756101816298396       ,   0.20360987788602800     
   3.2725467059023656       ,    2.3834126017706909E-002  ,    4.3383105131233189E-002
   3.3379976400204128       ,  -0.14084214172730561       ,  -0.11879264331818475     
   3.4034485741384604       ,  -0.29067673189246962       ,  -0.26750690777572778     
   3.4688995082565075       ,  -0.41466781204494102       ,  -0.39104438078710030     
   3.5343504423745546       ,  -0.50604603527121916       ,  -0.48170004294621738     
   3.5998013764926022       ,  -0.56106250823390669       ,  -0.53564684035278576     
   3.6652523106106494       ,  -0.57813211273255660       ,  -0.55232860843936693     
   3.7307032447286965       ,  -0.55773237624088423       ,  -0.53347994739983051     
   3.7961541788467441       ,  -0.50257164761947382       ,  -0.48204851962939638     
   3.8616051129647913       ,  -0.41723206843559246       ,  -0.40139450593758391     
   3.9270560470828384       ,  -0.30709232282149507       ,  -0.29508393310105313     
   3.9925069812008860       ,  -0.17728959029077884       ,  -0.16736948933939697     
   4.0579579153189336       ,   -3.2817168138730167E-002  ,   -2.4136159174267324E-002
   4.1234088494369807       ,   0.11991898813367140       ,   0.12619231261179842     
   4.1888597835550279       ,   0.27113158611641369       ,   0.27239821977247347     
   4.2543107176730750       ,   0.40712196611217566       ,   0.40132513889149751     
   4.3197616517911221       ,   0.51244442622093056       ,   0.49990570052492334     
   4.3852125859091702       ,   0.57429142981803416       ,   0.55792041510275536     
   4.4506635200272173       ,   0.58699600589100909       ,   0.57065037287357723     
   4.5161144541452645       ,   0.55425758608576514       ,   0.54049337302029210     
   4.5815653882633116       ,   0.48799384864500506       ,   0.47689464697197681     
   4.6470163223813588       ,   0.40465061289400095       ,   0.39450101645321412     
   4.7124672564994068       ,   0.32098078340775349       ,   0.31005037603663116     
   4.7779181906174539       ,   0.25101573779320829       ,   0.23890575907943290     
   4.8433691247355011       ,   0.20466306569103285       ,   0.19218616509070566     
   4.9088200588535482       ,   0.18724282739680326       ,   0.17515352586085386     
   4.9742709929715954       ,   0.19917132853731381       ,   0.18704752923079590     
   5.0397219270896425       ,   0.23576764426842847       ,   0.22212591071846410     
   5.1051728612076905       ,   0.28787070767333056       ,   0.27141853063388649     
   5.1706237953257377       ,   0.34380991091017060       ,   0.32467596667724880     
   5.2360747294437848       ,   0.39233073501880250       ,   0.37212206325982755     
   5.3015256635618320       ,   0.42520037898374141       ,   0.40579741653205348     
   5.3669765976798791       ,   0.43826766645242554       ,   0.42042216716495728     
   5.4324275317979271       ,   0.43078072572386034       ,   0.41378225604228347     
   5.4978784659159743       ,   0.40394259744772271       ,   0.38667222901165993     
   5.5633294000340214       ,   0.36001559488421964       ,   0.34244573920679489     
   5.6287803341520686       ,   0.30250114972701869       ,   0.28625562129334670     
   5.6942312682701157       ,   0.23673113951851976       ,   0.22410782199154741     
   5.7596822023881629       ,   0.16967944285690550       ,   0.16188860391366799     
   5.8251331365062109       ,   0.10842634459879184       ,   0.10453089909045224     
   5.8905840706242580       ,    5.7949435158262563E-002  ,    5.5453234695092321E-002
   5.9560350047423052       ,    1.9676503845863641E-002  ,    1.6339622341331048E-002
   6.0214859388603523       ,   -8.1812765460602451E-003  ,   -1.2749214973842342E-002
   6.0869368729783995       ,   -2.8779928760881902E-002  ,   -3.3010107432350097E-002
   6.1523878070964475       ,   -4.4626802012340427E-002  ,   -4.6392622187464275E-002
   6.2178387412144946       ,   -5.6743284252087002E-002  ,   -5.5075478002226265E-002
   6.2832896753325418       ,   -6.5294160327736189E-002  ,   -6.1023142209652659E-002
   6.3487406094505889       ,   -7.0782887568142466E-002  ,   -6.5687448651067695E-002
   6.4141915435686361       ,   -7.4584698848497583E-002  ,   -6.9883157387631858E-002
   6.4796424776866841       ,   -7.8337853957439932E-002  ,   -7.3832573508114438E-002
   6.5450934118047313       ,   -8.2819389122634618E-002  ,   -7.7342213661910880E-002
   6.6105443459227784       ,   -8.7404797074082954E-002  ,   -8.0046139447891462E-002
   6.6759952800408255       ,   -9.0662733358869596E-002  ,   -8.1634622347044564E-002
   6.7414462141588727       ,   -9.1596415441341283E-002  ,   -8.1994563841310902E-002
   6.8068971482769207       ,   -9.0459673115470263E-002  ,   -8.1223547385383635E-002
   6.8723480823949679       ,   -8.8457849758318871E-002  ,   -7.9531567642148748E-002
   6.9377990165130150       ,   -8.6627275355633360E-002  ,   -7.7090085766539584E-002
   7.0032499506310621       ,   -8.4884891968642170E-002  ,   -7.3904654071750786E-002
   7.0687008847491093       ,   -8.2048236849180098E-002  ,   -6.9768019817694024E-002
   7.1341518188671564       ,   -7.6751548484622081E-002  ,   -6.4308796819611810E-002
   7.1996027529852045       ,   -6.8427748426366203E-002  ,   -5.7110917223031327E-002
   7.2650536871032516       ,   -5.7546196684963413E-002  ,   -4.7859854159758915E-002
   7.3305046212212988       ,   -4.5024343211643711E-002  ,   -3.6474843711203624E-002
   7.3959555553393459       ,   -3.1468602461435985E-002  ,   -2.3199600703875438E-002
   7.4614064894573930       ,   -1.6978497068796596E-002  ,   -8.6339487081271999E-003
   7.5268574235754411       ,   -1.6401379917774452E-003  ,    6.3070084445223436E-003
   7.5923083576934882       ,    1.3851222435372332E-002  ,    2.0512273448093372E-002
   7.6577592918115354       ,    2.8111639008284759E-002  ,    3.2859980686311054E-002
   7.7232102259295825       ,    3.9658775586655905E-002  ,    4.2427727153517558E-002
   7.7886611600476297       ,    4.7645567339598655E-002  ,    4.8668354552623805E-002
   7.8541120941656768       ,    5.2088969542130117E-002  ,    5.1496748845630366E-002
   7.9195630282837248       ,    5.3464896111248064E-002  ,    5.1266118654930366E-002
   7.9850139624017720       ,    5.2175456123773764E-002  ,    4.8655726782638145E-002
   8.0504648965198200       ,    4.8499411307305715E-002  ,    4.4520785246323406E-002
   8.1159158306378671       ,    4.3087731516303227E-002  ,    3.9753798592145666E-002
   8.1813667647559143       ,    3.7405830513431326E-002  ,    3.5180967107296499E-002
   8.2468176988739614       ,    3.3447804128846514E-002  ,    3.1489250320275476E-002
   8.3122686329920086       ,    3.2708492456878131E-002  ,    2.9169627835023536E-002
   8.3777195671100557       ,    3.5205623274620818E-002  ,    2.8473120070754462E-002
   8.4431705012281029       ,    3.9485875295707878E-002  ,    2.9393303397564841E-002
   8.5086214353461500       ,    4.3781336662727328E-002  ,    3.1693186557652311E-002
   8.5740723694641972       ,    4.7430982826600215E-002  ,    3.4978600223134607E-002
   8.6395233035822443       ,    5.1322987467320287E-002  ,    3.8795795399307845E-002
   8.7049742377002914       ,    5.6874182846672845E-002  ,    4.2717095286546318E-002
   8.7704251718183404       ,    6.4356427750951115E-002  ,    4.6386577325116203E-002
   8.8358761059363875       ,    7.2062104129192298E-002  ,    4.9522234770479574E-002
   8.9013270400544346       ,    7.7187234195910073E-002  ,    5.1894365167322369E-002
   8.9667779741724818       ,    7.7845791897646122E-002  ,    5.3306923722992713E-002
   9.0322289082905289       ,    7.4567547275333240E-002  ,    5.3597643390745832E-002
   9.0976798424085761       ,    6.9954599966632627E-002  ,    5.2655094452117329E-002
   9.1631307765266232       ,    6.6680418802369870E-002  ,    5.0440020985437907E-002
   9.2285817106446704       ,    6.5442708996096818E-002  ,    4.6999327840481470E-002
   9.2940326447627175       ,    6.4570340794799952E-002  ,    4.2468720621369721E-002
   9.3594835788807647       ,    6.1607774797819793E-002  ,    3.7065611635028729E-002
   9.4249345129988136       ,    5.5517974577650966E-002  ,    3.1073977801088417E-002
   9.4903854471168607       ,    4.7618243534956327E-002  ,    2.4820938114458582E-002
   9.5558363812349079       ,    4.0469926322399236E-002  ,    1.8646093950720446E-002
   9.6212873153529550       ,    3.5729722447392594E-002  ,    1.2869401433746331E-002
   9.6867382494710021       ,    3.2870944411628994E-002  ,    7.7661197589350330E-003
   9.7521891835890493       ,    2.9896905904847868E-002  ,    3.5530841820555926E-003
   9.8176401177070964       ,    2.5384081649725127E-002  ,    3.8086516898841596E-004
