 Results from RMCProfile version 6.7.9.5

 (Version 6f format configuration file)                                          

 0 experiments   1 partials

 Partial g(r)'s are printed out below

   245  1 are NR and NPAR

   r (Ang)
   0.06545     0.00000
   0.13090     0.00000
   0.19635     0.00000
   0.26180     0.00000
   0.32725     0.00000
   0.39271     0.00000
   0.45816     0.00000
   0.52361     0.00000
   0.58906     0.00000
   0.65451     0.00000
   0.71996     0.00000
   0.78541     0.00000
   0.85086     0.00000
   0.91631     0.00000
   0.98176     0.00000
   1.04721     0.00000
   1.11267     0.00000
   1.17812     0.00000
   1.24357     0.00000
   1.30902     0.00000
   1.37447     0.00000
   1.43992     0.00000
   1.50537     0.00000
   1.57082     0.00000
   1.63627     0.92663
   1.70172     1.08520
   1.76718     0.58260
   1.83263     1.57595
   1.89808     0.96413
   1.96353     1.37285
   2.02898     0.88393
   2.09443     0.98038
   2.15988     0.99278
   2.22533     0.90184
   2.29078     1.22929
   2.35623     0.71505
   2.42168     0.78974
   2.48714     0.90916
   2.55259     1.11700
   2.61804     0.96532
   2.68349     0.98772
   2.74894     1.00692
   2.81439     0.98151
   2.87984     0.99724
   2.94529     1.23944
   3.01074     1.04015
   3.07619     1.10124
   3.14164     0.90500
   3.20710     1.06143
   3.27255     1.09663
   3.33800     0.87590
   3.40345     0.92822
   3.46890     1.01724
   3.53435     1.23151
   3.59980     0.99566
   3.66525     0.76341
   3.73070     0.86760
   3.79615     0.78054
   3.86161     0.78759
   3.92706     0.80446
   3.99251     0.85094
   4.05796     0.86390
   4.12341     0.83669
   4.18886     0.82017
   4.25431     0.92308
   4.31976     0.96624
   4.38521     0.93761
   4.45066     1.06056
   4.51611     0.98137
   4.58157     0.85897
   4.64702     1.03411
   4.71247     0.93854
   4.77792     0.99996
   4.84337     0.90260
   4.90882     0.88556
   4.97427     0.99611
   5.03972     0.97041
   5.10517     0.99646
   5.17062     0.94046
   5.23607     0.95329
   5.30153     1.04172
   5.36698     0.83270
   5.43243     0.97531
   5.49788     0.99054
   5.56333     0.91392
   5.62878     0.99199
   5.69423     0.97442
   5.75968     0.95738
   5.82513     0.98962
   5.89058     0.98205
   5.95604     1.05851
   6.02149     1.03106
   6.08694     0.96436
   6.15239     1.01387
   6.21784     1.11244
   6.28329     0.98464
   6.34874     1.04242
   6.41419     0.98909
   6.47964     1.03618
   6.54509     1.03101
   6.61054     1.05991
   6.67600     0.95757
   6.74145     0.98639
   6.80690     0.92110
   6.87235     1.00521
   6.93780     0.95196
   7.00325     1.08265
   7.06870     0.99649
   7.13415     1.08879
   7.19960     1.04994
   7.26505     0.89634
   7.33050     1.01893
   7.39596     0.93142
   7.46141     1.05777
   7.52686     1.00150
   7.59231     0.90970
   7.65776     1.03808
   7.72321     0.96786
   7.78866     1.00620
   7.85411     1.05922
   7.91956     1.04970
   7.98501     1.10261
   8.05046     0.99542
   8.11592     1.04222
   8.18137     1.03055
   8.24682     0.97777
   8.31227     1.00314
   8.37772     0.93332
   8.44317     1.06973
   8.50862     1.01906
   8.57407     1.03282
   8.63952     0.97955
   8.70497     0.96924
   8.77043     1.03010
   8.83588     0.92379
   8.90133     1.01673
   8.96678     1.00811
   9.03223     1.04830
   9.09768     0.99130
   9.16313     0.97719
   9.22858     0.95949
   9.29403     0.94603
   9.35948     0.99516
   9.42493     0.99628
   9.49039     0.93851
   9.55584     0.97099
   9.62129     0.94352
   9.68674     1.02425
   9.75219     1.00011
   9.81764     0.97824
   9.88309     0.95347
   9.94854     1.09640
  10.01399     1.06727
  10.07944     0.96390
  10.14489     1.05437
  10.21035     1.05042
  10.27580     0.96502
  10.34125     0.97914
  10.40670     1.02948
  10.47215     0.96085
  10.53760     1.01747
  10.60305     1.03585
  10.66850     1.07841
  10.73395     0.99925
  10.79940     0.98576
  10.86486     1.00195
  10.93031     1.01075
  10.99576     1.11231
  11.06121     0.97480
  11.12666     0.95669
  11.19211     1.02476
  11.25756     1.02071
  11.32301     0.93412
  11.38846     1.00249
  11.45391     0.99484
  11.51936     0.96861
  11.58482     1.00084
  11.65027     0.98719
  11.71572     1.06416
  11.78117     0.90340
  11.84662     0.99952
  11.91207     0.98740
  11.97752     0.99048
  12.04297     1.06186
  12.10842     1.00980
  12.17387     1.04138
  12.23932     0.99494
  12.30478     0.98766
  12.37023     0.98480
  12.43568     0.97767
  12.50113     0.91877
  12.56658     0.97836
  12.63203     1.01801
  12.69748     0.96753
  12.76293     1.02161
  12.82838     0.98105
  12.89383     1.01987
  12.95928     1.01945
  13.02474     1.01215
  13.09019     0.94703
  13.15564     0.98064
  13.22109     0.93499
  13.28654     1.04294
  13.35199     1.03645
  13.41744     0.97766
  13.48289     0.98730
  13.54834     1.02014
  13.61379     1.03088
  13.67925     0.99894
  13.74470     0.97807
  13.81015     1.00525
  13.87560     1.04648
  13.94105     0.95071
  14.00650     1.02111
  14.07195     1.03920
  14.13740     0.99318
  14.20285     0.98241
  14.26830     0.94335
  14.33375     0.98226
  14.39921     1.03478
  14.46466     1.03018
  14.53011     0.98566
  14.59556     0.96908
  14.66101     1.00200
  14.72646     0.98702
  14.79191     0.96847
  14.85736     1.00192
  14.92281     0.99093
  14.98826     1.02500
  15.05371     1.00515
  15.11917     1.01312
  15.18462     1.00153
  15.25007     1.01714
  15.31552     0.98307
  15.38097     1.02577
  15.44642     1.00877
  15.51187     1.01884
  15.57732     0.99189
  15.64277     0.97888
  15.70822     1.04582
  15.77368     0.96469
  15.83913     0.95937
  15.90458     1.00185
  15.97003     1.03516
  16.03548     1.01065
