Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
151820.534      374308      406236
151832.528      799599      867605
151844.528     1213387     1317901
151856.528     1636079     1778826
151908.528     2056816     2236503
151920.528     2478459     2694313
151932.528     2896210     3148908
151944.528     3324715     3614297
151956.528     3751755     4077526
152008.528     4172571     4534725
152020.528     4585792     4983657
152032.528     5004577     5437549
152044.528     5408070     5877142
152056.528     5825375     6332113
152108.528     6247941     6790982
152120.528     6672569     7250875
152132.528     7095933     7711493
152144.528     7513171     8166515
152156.528     7932300     8624051
152208.528     8353643     9082559
152220.528     8756177     9519718
152232.531     9052748     9842427
152244.531     9269483    10078829
152256.529     9509463    10340184
152308.528     9854109    10714639
152320.528    10257010    11153175
152332.528    10651575    11582292
152344.528    11061812    12029543
152356.528    11463389    12465207
152408.528    11874354    12911163
152420.528    12260020    13329702
152432.528    12653707    13756292
152444.528    13037023    14174077
152456.528    13424547    14595942
152508.528    13794370    14998649
152520.528    14178481    15415229
152532.528    14582695    15853747
152544.528    14980175    16286139
152556.528    15380279    16721575
152608.528    15792833    17170224
152620.528    16204464    17617904
152632.528    16620363    18068932
152644.528    17037743    18520908
152656.528    17459154    18979735
152708.528    17882866    19440579
152720.528    18300643    19894228
152732.528    18717163    20347814
152744.529    19129776    20796797
152756.528    19550172    21253654
152808.528    19966688    21706530
