Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
165717.209      377789      453502
165729.213      677751      812010
165741.210      974618     1167701
165753.208     1315864     1575401
165805.207     1923394     2299074
165817.219     2471837     2956422
165829.208     3048756     3646412
165841.211     3496224     4182148
165853.207     3974410     4755508
165905.207     4378831     5240502
165917.207     4867492     5822519
165929.225     5378478     6430335
165941.207     5926080     7085929
165953.217     6345317     7584507
170005.207     6843846     8179804
170017.208     7336004     8767440
170029.207     8042017     9609604
170041.207     8640813    10327648
170053.207     9190509    10988886
170105.207     9724227    11625824
170117.208    10242319    12249501
170129.206    11322774    13544190
170141.207    12779289    15284400
170153.207    14169070    16954849
170205.206    15544497    18611029
170217.207    16980190    20336200
170229.206    18411684    22057238
170241.207    19828607    23757908
170253.206    21208441    25415098
170305.206    22625649    27116097
170317.206    24056449    28830801
170329.206    25503760    30567199
170341.207    26942427    32294317
170353.206    28387949    34033385
170405.207    29775802    35698849
170417.206    31247128    37469101
170429.206    32720044    39240470
170441.206    34218235    41039470
170453.206    35693822    42811430
170505.206    37180789    44600580
170517.206    38578491    46279094
170529.206    40040127    48030449
170541.207    41364313    49620304
170553.206    42862759    51424618
170605.207    44331735    53183925
170617.206    45950206    55128118
170629.207    47544172    57037438
170641.206    49131073    58951784
170653.206    50689146    60824494
170705.206    52135939    62559472
