Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
211228.856   121642905   132920845
211240.856   122133280   133456010
211252.852   122624063   133990858
211304.852   123112037   134524302
211316.852   123599698   135057378
211328.852   124093151   135596058
211340.852   124585239   136133208
211352.856   125077082   136669623
211404.856   125570723   137206841
211416.856   126064094   137744103
211428.852   126557613   138282390
211440.856   127049918   138819005
211452.852   127540812   139355719
211504.852   128030436   139890846
211516.856   128521377   140428164
211528.852   129013535   140966993
211540.865   129506345   141504171
211552.856   130064212   142111723
211604.852   130554560   142645973
211616.856   131049788   143185454
211628.856   131545686   143725716
211640.852   132037586   144263557
211652.852   132538640   144810182
211704.852   133027476   145344104
211716.852   133515923   145878024
211728.852   134004845   146413064
211740.852   134493698   146947375
211752.850   134982568   147480723
211804.852   135473311   148016009
211816.856   135961403   148549571
211828.857   136448185   149082283
211840.852   136934881   149615771
211852.852   137421975   150149061
211904.852   137913176   150684446
211916.852   138404606   151222700
211928.856   138893167   151757061
211940.856   139381784   152291456
211952.852   139869596   152826643
212004.852   140359562   153360904
212016.856   140847700   153894764
212028.852   141338000   154430293
212040.856   141829897   154968024
212052.856   142320344   155504719
212104.850   142824519   156056505
212116.852   143324948   156604258
212128.852   143829860   157156096
212140.852   144331243   157705055
212152.852   144833484   158253749
212204.856   145321714   158785101
212216.852   145813566   159320332
212228.850   146305238   159857446
212240.856   146861641   160465474
212252.852   147353168   161002214
212304.852   147842025   161536568
212316.856   148353645   162094471
212328.852   148848859   162635534
212340.852   149351813   163184589
