Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
213232.219      562647      612096
213244.219     1055818     1148958
213256.219     1545620     1682523
213308.219     2022529     2202773
213320.219     2486565     2708910
213332.219     2960433     3225095
213344.219     3452687     3763220
213356.219     3954748     4310733
213408.218     4466969     4870572
213420.220     4995596     5447400
213432.221     5473710     5969302
213444.219     5997618     6540621
213456.219     6561833     7158254
213508.219     7069940     7714447
213520.219     7583759     8277364
213532.219     8100174     8842688
213544.219     8616227     9405986
213556.219     9134337     9971948
213608.219     9636189    10519129
213620.219    10088716    11013715
213632.219    10533280    11498214
213644.219    11033013    12043786
213656.221    11541425    12599392
213708.219    12043389    13149417
213720.219    12550720    13704664
213732.219    13070037    14273208
213744.219    13583242    14835078
213756.219    14099489    15397877
213808.219    14590396    15933730
213820.219    15074862    16465175
213832.219    15537365    16972000
213844.219    16035167    17519234
213856.221    16517732    18046417
213908.219    17019114    18594308
213920.219    17523148    19147198
213932.221    18005042    19675372
213944.221    18493459    20209877
213956.219    18999414    20763376
214008.219    19498796    21309060
214020.219    19979516    21835107
214032.219    20471494    22372676
214044.219    20946234    22891918
214056.219    21422155    23413196
214108.219    21927403    23966305
214120.219    22403099    24487350
214132.221    22800053    24920673
214144.219    23198138    25357058
214156.219    23654401    25856062
214208.219    24158810    26405970
214220.219    24673360    26966910
214232.219    25183580    27523505
214244.219    25673619    28058935
214256.220    26207987    28643402
214308.219    26742560    29226232
214320.219    27298076    29831775
214332.220    27787157    30366652
214344.219    28283324    30909611
214356.219    28788381    31461871
214408.219    29292291    32011713
214420.219    29763338    32523278
214432.219    30248406    33053418
214444.219    30720250    33569526
214456.221    31219564    34116157
214508.219    31705260    34646959
214520.218    32197738    35185477
214532.219    32748871    35787599
214544.219    33245331    36330609
214556.219    33716226    36844846
214608.219    34190299    37361637
214620.219    34692259    37908969
214632.219    35150163    38409844
214644.220    35561273    38859559
214656.219    36020024    39360774
214708.219    36505761    39892140
214720.219    36999363    40431424
214732.219    37494502    40970612
214744.218    38053039    41580413
214756.218    38632364    42214620
214808.219    39112988    42738493
214820.219    39575128    43242697
214832.219    40050087    43761520
214844.219    40529104    44283525
214856.221    41035735    44836763
214908.219    41494785    45339662
214920.219    41977301    45866315
214932.219    42445087    46378643
214944.219    42922754    46903768
214956.219    43389837    47414552
215008.219    43869989    47939357
215020.219    44341682    48454953
215032.219    44776129    48931722
215044.219    45264774    49466066
215056.221    45773272    50022844
215108.219    46258110    50553358
215120.219    46723632    51062850
215132.219    47195642    51577961
215144.219    47664937    52091821
215156.219    48153188    52625627
215208.219    48632666    53149043
215220.225    49081749    53640322
215232.219    49570808    54174806
215244.219    50054593    54705035
215256.221    50545534    55241487
215308.219    51032220    55773228
215320.219    51528666    56314554
215332.219    52019481    56852649
215344.219    52510852    57390068
215356.219    52998830    57923249
215408.219    53478384    58447611
215420.219    53957616    58970546
215432.219    54424934    59482305
215444.219    54900751    60001359
215456.219    55393186    60539426
215508.219    55830254    61016944
215520.218    56304078    61535900
215532.218    56860717    62145182
215544.220    57367212    62700889
215556.218    57828244    63204496
215608.218    58380275    63807378
215620.220    58911036    64387242
215632.219    59432133    64958611
215644.219    59927805    65500995
215656.219    60435259    66055856
215708.218    60905391    66568637
215720.219    61441845    67153725
215732.219    61914083    67668758
215744.219    62341953    68136516
215756.219    62829528    68669692
215808.219    63329430    69217055
215820.219    63801309    69732847
215832.221    64277461    70252342
215844.219    64761104    70782050
215856.219    65226056    71290003
215908.219    65702596    71809566
215920.219    66206935    72360262
215932.219    66700683    72900120
215944.221    67197395    73443786
215956.219    67678175    73969006
220008.219    68156793    74492708
220020.219    68638907    75019535
220032.219    69135564    75564099
220044.219    69635168    76110866
220056.218    70206181    76733308
220108.219    70763293    77340470
220120.218    71279423    77903151
220132.218    71837438    78511512
220144.218    72410300    79135949
220156.219    72912731    79683719
220208.219    73411623    80229336
220220.219    73910482    80774729
220232.219    74410141    81321093
220244.219    74917998    81875833
220256.219    75404443    82406382
220308.219    75904198    82951681
220320.219    76405246    83499590
220332.219    76889183    84028964
220344.221    77344830    84529211
220356.219    77820389    85050111
220408.219    78308266    85582921
220420.219    78780194    86100706
220432.219    79274906    86641090
220444.219    79760060    87172957
220456.219    80312160    87778487
220508.219    80882296    88401784
220520.218    81461607    89034439
220532.220    82018501    89643917
220544.218    82571172    90248696
220556.218    83134278    90864377
220608.218    83688228    91470332
220620.218    84246561    92080766
220632.219    84777680    92661879
220644.224    85327936    93263570
220656.218    85907686    93894187
220708.219    86404370    94436177
220720.219    86887594    94964491
220732.219    87388732    95512243
220744.219    87904682    96076381
220756.219    88425382    96643693
220808.219    88927923    97191692
220820.219    89439863    97752528
220832.219    89921994    98280080
220844.219    90432944    98837748
220856.221    90938810    99389599
220908.219    91453401    99950600
220920.219    91928759   100470665
220932.221    92417446   101004922
220944.219    92906821   101540312
220956.219    93392497   102071611
221008.219    93889606   102614161
221020.221    94360432   103128999
221032.219    94847528   103661901
221044.219    95309672   104167221
221056.219    95778034   104677441
221108.219    96253719   105197948
221120.219    96710815   105698557
221132.221    97196000   106228729
221144.219    97667636   106744714
221156.219    98103528   107221138
221208.221    98595325   107758242
221220.221    99014293   108214827
221232.219    99444243   108684822
221244.219    99898330   109182227
221256.219   100384507   109712844
221308.218   100926922   110304141
221320.218   101460522   110887284
221332.219   101985312   111458896
221344.220   102519591   112042853
221356.219   103065881   112640075
221408.219   103623587   113248630
221420.220   104171713   113851100
221432.219   104711094   114441341
221444.219   105241461   115020870
221456.220   105788764   115620281
221508.219   106307152   116188499
221520.220   106716625   116636156
221532.221   107213281   117179250
221544.221   107702855   117713677
221556.219   108178464   118233793
221608.219   108658353   118758022
221620.219   109146172   119291204
221632.219   109625516   119814482
221644.219   110108865   120341442
221656.219   110586766   120863218
221708.221   111047883   121367510
221720.219   111523275   121886753
221732.219   111978133   122384494
221744.221   112457743   122908700
221756.219   112933047   123427208
221808.219   113396843   123935212
221820.219   113861365   124444057
221832.219   114390212   125021444
221844.221   114897045   125574414
221856.220   115359012   126080042
221908.220   115815432   126580312
221920.222   116292419   127100971
221932.219   116816308   127674529
221944.220   117351999   128261416
221956.218   117906616   128870178
222008.220   118476485   129494890
222020.218   119008260   130079522
222032.219   119486355   130602330
222044.219   119976208   131136735
222056.221   120489065   131697081
222108.219   121003510   132260043
222120.219   121475779   132776307
222132.219   121963365   133309633
222144.219   122434299   133823510
222156.221   122914745   134348094
222208.219   123401367   134878411
222220.221   123874194   135394727
222232.221   124331846   135893870
222244.219   124780681   136385518
222256.221   125244601   136892676
222308.219   125736776   137429784
222320.219   126221068   137959364
222332.221   126691670   138472954
222344.219   127157577   138981003
222356.219   127631156   139498151
222408.219   128109935   140021773
222420.221   128583853   140540923
222432.219   129028056   141025932
222444.219   129493583   141535219
222456.219   129953601   142039416
222508.219   130448340   142581503
222520.221   130899090   143074202
222532.218   131381791   143601183
222544.225   131940033   144209128
222556.219   132463022   144778794
222608.225   132940293   145299589
222620.219   133395386   145796559
222632.219   133876508   146320614
222644.220   134403406   146895645
222656.221   134941501   147484705
222708.225   135513864   148109154
222720.218   136019967   148662652
222732.218   136543510   149234622
222744.218   137103693   149844455
222756.219   137626812   150416917
222808.219   138135948   150974092
222820.221   138648618   151536279
222832.221   139151009   152086609
222844.219   139655358   152637565
222856.219   140158208   153190356
222908.219   140665605   153744905
222920.219   141164795   154292285
222932.219   141671316   154846640
222944.219   142174423   155395535
222956.219   142679650   155947725
223008.219   143184716   156498374
223020.219   143689275   157050431
223032.221   144197379   157607555
223044.219   144702820   158161040
223056.219   145211458   158717194
223108.219   145720079   159272887
223120.219   146227692   159827464
223132.219   146738836   160384912
223144.219   147250050   160941168
223156.219   147761031   161498522
223208.219   148272993   162056917
223220.219   148782297   162612848
