Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
193645.439     2188654     2482434
193657.441     4030448     4569373
193709.439     5835280     6618458
193721.441     7749838     8795661
193733.441     9528870    10813850
193745.445    11393483    12927406
193757.447    13272509    15053315
193809.445    15121164    17141552
193821.441    16943836    19207571
193833.440    18798809    21309153
193845.441    20611317    23365100
193857.439    22441116    25437637
193909.441    24284593    27526599
193921.440    26122897    29609438
193933.440    27971664    31702317
193945.440    29799367    33771954
193957.445    31638832    35860263
194009.445    33471732    37932726
194021.445    35310371    40014408
194033.440    37279663    42251040
194045.445    39172211    44396068
194057.445    40998820    46465648
194109.445    42729362    48428574
194121.440    44439182    50364334
194133.441    46219751    52381762
194145.439    48050069    54454745
194157.441    49805679    56441428
194209.441    51536003    58401198
194221.445    53235090    60327086
194233.440    54954533    62276128
194245.445    56746794    64308224
194257.441    58429422    66216122
194309.440    60378390    68424154
194321.440    62408966    70726441
194333.439    64247449    72809406
194345.438    66096255    74904125
194357.438    67938978    76994010
194409.441    69698461    78989663
194421.441    71454036    80976486
194433.445    73215112    82973708
194445.440    74979634    84966316
194457.445    76737072    86958216
194509.445    78487335    88942738
194521.438    80248900    90938995
194533.445    82007451    92928193
194545.441    83750663    94903597
194557.441    85476190    96861054
194609.441    87201195    98813645
194621.448    88894826   100733058
194633.438    90656880   102725785
