Time       moves_acc moves_gen     G(r)_1     S(Q)_1     Bragg
h/m/s/.th    WEIGHT PARAMETERS   0.100E+05  0.100E+05  0.100E+05
171522.379        4110        5174  0.736E-01  0.242E-01  0.289E-02
171534.379        6496       10442  0.156E-01  0.866E-02  0.245E-02
171546.379        8255       15513  0.132E-01  0.804E-02  0.237E-02
171558.380        9814       20500  0.132E-01  0.787E-02  0.234E-02
171610.380       11315       25603  0.122E-01  0.748E-02  0.232E-02
171622.380       12708       30618  0.115E-01  0.728E-02  0.231E-02
171634.380       14247       36167  0.102E-01  0.695E-02  0.230E-02
171646.383       15313       40395  0.968E-02  0.675E-02  0.230E-02
171658.381       16573       45180  0.920E-02  0.656E-02  0.230E-02
171710.380       17850       49937  0.870E-02  0.633E-02  0.230E-02
171722.380       19124       54783  0.852E-02  0.624E-02  0.230E-02
171734.382       20398       59548  0.835E-02  0.609E-02  0.230E-02
171746.381       21651       64326  0.798E-02  0.597E-02  0.230E-02
171758.380       22869       69075  0.796E-02  0.586E-02  0.230E-02
171810.379       24114       73864  0.787E-02  0.580E-02  0.230E-02
171822.382       25338       78620  0.758E-02  0.566E-02  0.230E-02
171834.381       26782       84124  0.740E-02  0.561E-02  0.230E-02
171846.379       28241       89683  0.749E-02  0.559E-02  0.230E-02
171858.381       29645       95198  0.730E-02  0.553E-02  0.230E-02
171910.379       31072      100716  0.739E-02  0.549E-02  0.230E-02
171922.380       32505      106285  0.722E-02  0.540E-02  0.230E-02
171934.379       33943      111833  0.724E-02  0.539E-02  0.230E-02
171946.379       35371      117328  0.718E-02  0.534E-02  0.230E-02
171958.379       36835      122923  0.707E-02  0.530E-02  0.230E-02
172010.379       38079      127672  0.689E-02  0.524E-02  0.230E-02
172022.381       39271      132394  0.703E-02  0.525E-02  0.230E-02
172034.387       40517      137156  0.711E-02  0.523E-02  0.230E-02
172046.381       41809      141948  0.701E-02  0.517E-02  0.230E-02
172058.379       43276      147545  0.691E-02  0.513E-02  0.230E-02
172110.379       44725      153112  0.687E-02  0.519E-02  0.230E-02
172122.381       45963      158018  0.689E-02  0.516E-02  0.230E-02
172134.382       47226      162791  0.692E-02  0.511E-02  0.230E-02
172146.384       48370      167489  0.700E-02  0.516E-02  0.230E-02
172158.380       49580      172232  0.694E-02  0.510E-02  0.230E-02
172210.381       50650      176378  0.692E-02  0.506E-02  0.230E-02
172222.383       51667      180258  0.687E-02  0.502E-02  0.230E-02
172234.383       52673      184282  0.691E-02  0.504E-02  0.230E-02
172246.381       53777      188468  0.687E-02  0.501E-02  0.230E-02
172258.384       54721      192413  0.673E-02  0.498E-02  0.230E-02
172310.381       55962      197175  0.690E-02  0.498E-02  0.230E-02
172322.382       57174      202005  0.672E-02  0.496E-02  0.230E-02
172334.381       58457      206841  0.676E-02  0.497E-02  0.230E-02
172346.381       59795      212255  0.705E-02  0.496E-02  0.230E-02
172358.379       61157      217672  0.696E-02  0.497E-02  0.230E-02
172410.383       62489      222758  0.686E-02  0.495E-02  0.230E-02
172422.382       63727      227576  0.684E-02  0.496E-02  0.230E-02
172434.381       64930      232348  0.689E-02  0.495E-02  0.230E-02
172446.380       66151      237115  0.678E-02  0.495E-02  0.230E-02
172458.379       67380      241846  0.684E-02  0.498E-02  0.230E-02
172510.381       68607      246606  0.695E-02  0.495E-02  0.230E-02
