 Q (1/Ang),Sr-Sr,Sr-Ti,Sr-O ,Ti-Ti,Ti-O ,O-O  
   0.84600 ,    -0.102117334267967E+02 ,     0.254703840511202E+01 ,     0.455595228090164E+00 ,    -0.102340388978130E+02 ,    -0.168950171538748E+01 ,    -0.315805642750594E+01 , 
   0.86600 ,    -0.111655152243995E+02 ,     0.410769936923024E+01 ,     0.403469939861477E+00 ,    -0.111855985004462E+02 ,    -0.254343229064071E+01 ,    -0.352597626479963E+01 , 
   0.88600 ,    -0.114962707197999E+02 ,     0.526443976786976E+01 ,     0.315894648638306E+00 ,    -0.115129742867111E+02 ,    -0.313711763544521E+01 ,    -0.370269429086688E+01 , 
   0.90600 ,    -0.111851902640710E+02 ,     0.591555649089054E+01 ,     0.199383908949012E+00 ,    -0.111976669223768E+02 ,    -0.342368724590561E+01 ,    -0.367702660195629E+01 , 
   0.92600 ,    -0.102738523903378E+02 ,     0.600532994642517E+01 ,     0.628825025857020E-01 ,    -0.102816494766112E+02 ,    -0.338487144684286E+01 ,    -0.345702034142456E+01 , 
   0.94600 ,    -0.885909718201446E+01 ,     0.552860403335882E+01 ,    -0.829272151252583E-01 ,    -0.886220879324903E+01 ,    -0.303186655244419E+01 ,    -0.306867474047209E+01 , 
   0.96600 ,    -0.708303942942706E+01 ,     0.453103384408485E+01 ,    -0.226446606910614E+00 ,    -0.708192117334913E+01 ,    -0.240365246073879E+01 ,    -0.255306784219005E+01 , 
   0.98600 ,    -0.511922477470828E+01 ,     0.310499455048749E+01 ,    -0.356044032986681E+00 ,    -0.511476868848482E+01 ,    -0.156296800544720E+01 ,    -0.196218847035262E+01 , 
   1.00600 ,    -0.315624730620792E+01 ,     0.138150156327809E+01 ,    -0.460931137988289E+00 ,    -0.314971799443274E+01 ,    -0.590339320421846E+00 ,    -0.135388061039843E+01 , 
   1.02600 ,    -0.138033882798268E+01 ,    -0.481180260016026E+00 ,    -0.531966726184886E+00 ,    -0.137327527482068E+01 ,     0.423290965369109E+00 ,    -0.786376454300460E+00 , 
   1.04600 ,     0.415055459576467E-01 ,    -0.231128827699053E+01 ,    -0.562331635356982E+00 ,     0.474149367622163E-01 ,     0.138468230191543E+01 ,    -0.312919691821675E+00 , 
   1.06600 ,     0.976385220329701E+00 ,    -0.393852959733804E+01 ,    -0.548031031668178E+00 ,     0.979444291807236E+00 ,     0.220646387273072E+01 ,     0.230390792852851E-01 , 
   1.08600 ,     0.133706759315928E+01 ,    -0.520901780166829E+01 ,    -0.488196317847583E+00 ,     0.133571905346527E+01 ,     0.281466416822908E+01 ,     0.191655005380816E+00 , 
   1.10600 ,     0.108932819376095E+01 ,    -0.599893200779610E+01 ,    -0.385175766905421E+00 ,     0.108229273649031E+01 ,     0.315498329465801E+01 ,     0.179187898699988E+00 , 
   1.12600 ,     0.254502997112873E+00 ,    -0.622575303260941E+01 ,    -0.244419439867424E+00 ,     0.240898855972780E+00 ,     0.319730632938865E+01 ,    -0.110097854850792E-01 , 
   1.14600 ,    -0.109286795987395E+01 ,    -0.585612665471629E+01 ,    -0.741784440070529E-01 ,    -0.111343563812793E+01 ,     0.293811221431508E+01 ,    -0.359073585077284E+00 , 
   1.16600 ,    -0.283199299267680E+01 ,    -0.490967727153270E+01 ,     0.114950044118372E+00 ,    -0.285938115743978E+01 ,     0.240061380813141E+01 ,    -0.830692128140503E+00 , 
   1.18600 ,    -0.480666934166062E+01 ,    -0.345842456426073E+01 ,     0.310593109390721E+00 ,    -0.484018944419887E+01 ,     0.163265534410420E+01 ,    -0.138044109871425E+01 , 
   1.20600 ,    -0.683898113744045E+01 ,    -0.162181453529499E+01 ,     0.499245671123898E+00 ,    -0.687743625889509E+01 ,     0.702577807921063E+00 ,    -0.195606092862373E+01 , 
   1.22600 ,    -0.874460017498208E+01 ,     0.442264597779229E+00 ,     0.666946024958122E+00 ,    -0.878636433046197E+01 ,    -0.306574288250044E+00 ,    -0.250327476593530E+01 , 
   1.24600 ,    -0.103483274971347E+02 ,     0.254978085815431E+01 ,     0.799946393244194E+00 ,    -0.103914608577147E+02 ,    -0.130400244390388E+01 ,    -0.297070262041782E+01 , 
   1.26600 ,    -0.114985293396666E+02 ,     0.450519595182823E+01 ,     0.885348371197693E+00 ,    -0.115409198988914E+02 ,    -0.219867279120784E+01 ,    -0.331442753910102E+01 , 
   1.28600 ,    -0.120792549582721E+02 ,     0.611726998396606E+01 ,     0.911681376031857E+00 ,    -0.121187747508539E+02 ,    -0.290678141423049E+01 ,    -0.350180949621366E+01 , 
   1.30600 ,    -0.120190612360680E+02 ,     0.721475980973917E+01 ,     0.869410560591836E+00 ,    -0.120537238278879E+02 ,    -0.335856030043622E+01 ,    -0.351421811783733E+01 , 
   1.32600 ,    -0.112958858704152E+02 ,     0.766073844349188E+01 ,     0.751367981757307E+00 ,    -0.113239916261413E+02 ,    -0.350388309900171E+01 ,    -0.334845901550254E+01 , 
   1.34600 ,    -0.993767693538359E+01 ,     0.736436723073381E+01 ,     0.553106177291552E+00 ,    -0.995793357431444E+01 ,    -0.331623754515707E+01 ,    -0.301679058037326E+01 , 
   1.36600 ,    -0.801886763011704E+01 ,     0.628915181895547E+01 ,     0.273176098588867E+00 ,    -0.803047573287858E+01 ,    -0.279477176714712E+01 ,    -0.254555729950778E+01 , 
   1.38600 ,    -0.565314647011847E+01 ,     0.445699142904803E+01 ,    -0.866686229288996E-01 ,    -0.565584272208674E+01 ,    -0.196428254226337E+01 ,    -0.197259024141376E+01 , 
   1.40600 ,    -0.298328310559484E+01 ,     0.194766613830600E+01 ,    -0.521341588792201E+00 ,    -0.297733788714673E+01 ,    -0.873181379786755E+00 ,    -0.134363415685501E+01 , 
   1.42600 ,    -0.169001869978337E+00 ,    -0.110622821676440E+01 ,    -0.102237259921330E+01 ,    -0.155171987433109E+00 ,     0.410364660128958E+00 ,    -0.708144075636736E+00 , 
   1.44600 ,     0.262596967108758E+01 ,    -0.452852284720299E+01 ,    -0.157794579220502E+01 ,     0.264652815967687E+01 ,     0.180377907872298E+01 ,    -0.114845197684286E+00 , 
   1.46600 ,     0.524652095142030E+01 ,    -0.811218621490461E+01 ,    -0.217304201812043E+01 ,     0.527237111472510E+01 ,     0.321645972613544E+01 ,     0.392535841655711E+00 , 
   1.48600 ,     0.755736800008485E+01 ,    -0.116345123282073E+02 ,    -0.278970389560628E+01 ,     0.758692994321224E+01 ,     0.455667871446352E+01 ,     0.778983359333098E+00 , 
   1.50600 ,     0.945194539731704E+01 ,    -0.148735981337063E+02 ,    -0.340744267648417E+01 ,     0.948364012990406E+01 ,     0.573844802354161E+01 ,     0.102102154935651E+01 , 
   1.52600 ,     0.108583229363120E+02 ,    -0.176248168246430E+02 ,    -0.400380314849418E+01 ,     0.108907080029035E+02 ,     0.668781603752251E+01 ,     0.110841968246543E+01 , 
   1.54600 ,     0.117417903186874E+02 ,    -0.197159936488825E+02 ,    -0.455509585351927E+01 ,     0.117736737380631E+02 ,     0.734811799502268E+01 ,     0.104464085860543E+01 , 
   1.56600 ,     0.121040763636889E+02 ,    -0.210200944818515E+02 ,    -0.503729492504089E+01 ,     0.121345974949978E+02 ,     0.768379735973749E+01 ,     0.846019726248684E+00 , 
   1.58600 ,     0.119794837256921E+02 ,    -0.214644365420607E+02 ,    -0.542708543000260E+01 ,     0.120081529139652E+02 ,     0.768253688373320E+01 ,     0.539772376801609E+00 , 
   1.60600 ,     0.114284967231211E+02 ,    -0.210357089139861E+02 ,    -0.570302734649056E+01 ,     0.114551896942453E+02 ,     0.735557713547901E+01 ,     0.161048286959263E+00 , 
   1.62600 ,     0.105296335492133E+02 ,    -0.197804253225035E+02 ,    -0.584678578237477E+01 ,     0.105545411508598E+02 ,     0.673624493524610E+01 ,    -0.250679944706009E+00 , 
   1.64600 ,     0.937044631374450E+01 ,    -0.178007956316274E+02 ,    -0.584436062117965E+01 ,     0.939398489923868E+01 ,     0.587685282801110E+01 ,    -0.655535908535223E+00 , 
