Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
131145.293   330537880   395424801
131157.298   331714081   396835942
131209.298   332891795   398252369
131221.293   334069889   399662234
131233.293   335238595   401064320
131245.293   336397865   402454020
131257.298   337530083   403812592
131309.293   338690918   405200893
131321.293   339873008   406613138
131333.298   341045277   408018561
131345.298   342216291   409422100
131357.298   343388093   410827705
131409.293   344571784   412245176
131421.298   345752300   413667445
131433.298   346905127   415045024
131445.297   348054553   416415717
131457.298   349230212   417818915
131509.293   350408864   419228751
131521.298   351600026   420652540
131533.293   352792553   422073040
131545.298   353972113   423486354
131557.298   355158231   424900970
131609.305   356326855   426305419
131621.298   357495802   427710056
131633.293   358697401   429142691
131645.298   359907356   430592094
131657.298   361015003   431915497
131709.298   362176786   433303126
131721.293   363295262   434637036
131733.293   364444540   436010103
131745.298   365614972   437405521
131757.298   366809978   438828944
131809.298   367989643   440234589
131821.293   369170013   441642534
131833.293   370360153   443061909
131845.293   371562232   444495438
131857.293   372740060   445907529
131909.293   373910602   447306165
131921.298   375091676   448728298
131933.298   376286811   450162810
131945.293   377478712   451583552
131957.298   378692031   453031054
132009.294   379755106   454302358
132021.293   380826395   455581839
132033.293   381943447   456917024
132045.294   383019767   458203154
132057.294   384061149   459444491
132109.298   385097899   460686280
132121.298   386209127   462017166
132133.293   387143196   463134187
132145.298   388194645   464395751
132157.298   389344618   465773446
132210.241   390490106   467142144
132222.241   391641937   468522105
132234.241   392670355   469752513
132246.241   393742646   471035799
132258.245   394791228   472290081
