Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
160402.387       65081       71800
160414.387      152044      175266
160426.387      244220      288030
160438.386      341987      409477
160450.387      443244      537000
160502.405      531599      648577
160514.386      627903      770094
160526.387      736607      908994
160538.387      850689     1054721
160550.386      966201     1203042
160602.388     1081384     1351879
160614.386     1192781     1495526
160626.387     1304060     1638757
160638.386     1417755     1784432
160650.387     1527844     1924934
160702.386     1640148     2069278
160714.389     1752699     2213910
160726.387     1859298     2351083
160738.407     1972939     2496537
160750.387     2068221     2618437
160802.386     2183464     2766610
160814.387     2296133     2910806
160826.387     2395781     3038887
160838.391     2473733     3139219
160850.386     2573125     3266655
160902.387     2680706     3404138
160914.387     2791876     3547071
160926.387     2895501     3681027
160938.386     3009094     3826065
160950.386     3119891     3967963
161002.386     3241108     4124132
161014.386     3355817     4272208
161026.386     3477107     4428646
161038.389     3585550     4569070
161050.386     3674297     4682215
161102.386     3775001     4811437
161114.387     3862288     4922687
161126.388     3958450     5046000
161138.387     4044894     5157226
161150.418     4107034     5237126
161202.387     4186830     5339778
161214.386     4279738     5458677
161226.387     4360087     5561893
161238.387     4447478     5674091
161250.386     4527604     5777393
161302.394     4607967     5880884
161314.386     4670820     5961999
161326.387     4734810     6043989
161338.386     4808790     6139696
161350.386     4915945     6277889
