Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
121606.028     1612573     1931741
121618.029     2951887     3567424
121630.028     4248515     5148435
121642.030     5553207     6745987
121654.030     6865989     8348858
121706.030     8200429     9978588
121718.029     9534044    11607729
121730.030    10929351    13310085
121742.030    12346198    15046162
121754.034    13764325    16782693
121806.034    15096211    18400934
121818.030    16434722    20028826
121830.030    17774650    21660211
121842.035    19103882    23282926
121854.034    20449593    24921776
121906.034    21796272    26560919
121918.034    23132954    28175192
121930.034    24484831    29806894
121942.034    25837527    31446841
121954.030    27179383    33073982
122006.030    28533082    34713630
122018.034    29888447    36356765
122030.030    31242838    37996160
122042.035    32584859    39619640
122054.030    33933195    41253922
122106.035    35269330    42873500
122118.030    36605008    44494544
122130.030    37978153    46156210
122142.034    39346321    47817055
122154.034    40704491    49465552
122206.030    42079184    51124400
122218.030    43446173    52782993
122230.034    44801140    54428023
122242.034    46162421    56085636
122254.035    47534610    57743935
122306.034    48900683    59402233
122318.034    50258692    61045855
122330.034    51627869    62703043
122342.034    52970477    64328635
122354.035    54303791    65941873
122406.034    55648085    67567505
122418.030    56989480    69193753
122430.035    58315901    70801098
122442.030    59657023    72428023
122454.034    61026799    74085610
122506.034    62447041    75803880
122518.034    63886050    77548044
122530.034    65327902    79287951
122542.029    66789260    81059542
122554.029    68161446    82722838
122606.030    69653574    84531708
122618.029    71010667    86175954
122630.029    72416113    87877350
122642.034    73929915    89707518
122654.034    75513613    91633596
122706.030    77137131    93603291
122718.034    78771813    95582715
122730.030    80416570    97567617
122742.030    82030429    99523158
122754.034    83666857   101508354
122806.034    85306392   103493701
122818.030    86931413   105458944
122830.034    88574986   107449592
122842.034    90212876   109428029
122854.029    91822087   111371938
122906.034    93461596   113358855
122918.034    95093568   115334559
122930.030    96705686   117293081
122942.034    98322279   119258797
122954.034    99945643   121226570
123006.030   101551130   123182177
123018.034   103175200   125160449
123030.034   104806420   127139172
123042.031   106424379   129099965
123054.034   108033658   131053221
123106.030   109659942   133023638
123118.034   111274091   134978327
123130.030   112897474   136942538
123142.030   114524494   138911190
123154.030   116135015   140867184
123206.030   117748936   142823988
123218.030   119376454   144795513
123230.030   121005567   146767883
123242.034   122619974   148724728
123254.034   124247861   150705223
123306.034   125876255   152672833
123318.030   127483104   154616700
123330.034   129105086   156578121
123342.036   130725230   158547529
123354.034   132197458   160335253
123406.030   133689967   162138151
123418.034   135169585   163926591
123430.034   136659568   165735788
123442.030   138145415   167539639
123454.034   139628320   169340842
123506.034   141119692   171143984
123518.030   142604376   172947305
123530.030   144082567   174740566
123542.030   145564824   176540477
123554.030   147032939   178320941
123606.034   148549047   180157926
123618.034   150063137   181995172
123630.030   151570846   183822408
123642.030   153092376   185657531
123654.030   154598221   187478701
123706.030   156111728   189316416
123718.034   157604492   191132881
123730.030   159099489   192947245
123742.030   160590535   194753997
123754.034   162090301   196566466
123806.030   163582820   198375784
123818.034   165073685   200182024
123830.034   166580679   202001606
123842.034   168075650   203815696
123854.034   169563372   205614830
123906.034   171059101   207428596
123918.034   172544026   209223124
123930.030   174063511   211064059
123942.030   175565841   212874929
123954.030   177053241   214674844
124006.034   178552782   216488680
124018.034   180043971   218298852
124030.030   181558917   220135501
124042.034   183061730   221953649
124054.034   184575456   223785350
124106.030   186100958   225633604
124118.033   187619995   227477429
124130.030   189104356   229274688
124142.030   190589776   231070466
124154.030   192090332   232888654
124206.030   193713594   234860750
124218.030   195198745   236662544
124230.030   196674524   238449043
124242.030   198155858   240246046
124254.030   199648500   242049022
124306.034   201126094   243840010
124318.035   202623855   245648618
124330.034   204117832   247454594
124342.035   205589201   249239053
124354.034   207071733   251042172
124406.034   208702480   253021786
124418.035   210184150   254824971
124430.035   211657918   256618542
124442.034   213137510   258421788
124454.030   214618886   260217371
124506.035   216113419   262024700
124518.034   217600143   263822539
124530.034   218830363   265315314
124542.034   220124893   266884833
124554.030   221552820   268616972
