Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
110417.292        2426       22947  0.425E-03
110429.291        3866       43665  0.470E-03
110441.291        5470       64692  0.465E-03
110453.291        7090       85762  0.451E-03
110505.291        7871      106631  0.375E-03
110517.291        8340      127564  0.354E-03
110529.291        8665      147938  0.344E-03
110541.291        9830      169233  0.365E-03
110553.293       11248      190914  0.399E-03
110605.291       11948      212581  0.351E-03
110617.291       12410      234239  0.335E-03
110629.291       13606      255915  0.371E-03
110641.291       14147      277560  0.335E-03
110653.291       14464      298627  0.328E-03
110705.291       15862      320169  0.375E-03
