Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
225225.354     1379506     1637682
225237.331     2690944     3191443
225249.331     4074773     4839922
225301.331     5212440     6186632
225313.331     6430838     7632891
225325.331     7598769     9018745
225337.329     8788542    10436487
225349.331    10086947    11979175
225401.331    11288529    13402164
225413.329    12486245    14824530
225425.335    13786696    16371538
225437.335    15013268    17827421
225449.329    16238389    19283438
225501.329    17651206    20957749
225513.331    18944288    22497710
225525.329    20203408    23996577
225537.329    21431610    25454521
225549.331    22650270    26903644
225601.331    23842635    28321700
225613.329    25153083    29882300
225625.331    26395006    31366659
225637.330    27730988    32959871
225649.335    28934361    34393228
225701.331    30162159    35863471
225713.331    31365681    37294307
225725.331    32828974    39031893
225737.331    34288930    40765490
225749.335    35738565    42498909
225801.331    37234842    44282901
225813.331    38731602    46064923
225825.331    40232538    47850390
225837.330    41582987    49452230
225849.329    42854055    50961529
225901.331    44133777    52483915
225913.329    45411572    54007004
225925.331    46664418    55497305
225937.329    47985156    57076716
225949.329    49322569    58670502
230001.331    50783121    60409929
230013.331    52179277    62072675
230025.335    53575538    63741539
230037.331    54943764    65368336
230049.331    56353542    67049107
230101.331    57665039    68608103
230113.331    59084316    70302095
230125.331    60478421    71959510
230137.331    61865850    73612138
230149.330    63164545    75155531
230201.331    64464176    76702034
230213.331    65785943    78274313
