  0.53500E+01 -0.51785E-02 -0.78122E-01
  0.54000E+01 -0.71045E-02 -0.88836E-01
  0.54500E+01 -0.86177E-02 -0.88257E-01
  0.55000E+01 -0.96285E-02 -0.80116E-01
  0.55500E+01 -0.10102E-01 -0.68270E-01
  0.56000E+01 -0.10047E-01 -0.53542E-01
  0.56500E+01 -0.95328E-02 -0.37883E-01
  0.57000E+01 -0.86864E-02 -0.23363E-01
  0.57500E+01 -0.76466E-02 -0.10109E-01
  0.58000E+01 -0.65587E-02  0.12068E-02
  0.58500E+01 -0.55278E-02  0.98098E-02
  0.59000E+01 -0.46155E-02  0.15220E-01
  0.59500E+01 -0.38273E-02  0.17004E-01
  0.60000E+01 -0.31298E-02  0.15699E-01
  0.60500E+01 -0.24679E-02  0.12081E-01
  0.61000E+01 -0.17932E-02  0.57651E-02
  0.61500E+01 -0.10826E-02 -0.17795E-02
  0.62000E+01 -0.34807E-03 -0.76654E-02
  0.62500E+01  0.36546E-03 -0.10783E-01
  0.63000E+01  0.99616E-03 -0.12075E-01
  0.63500E+01  0.14860E-02 -0.10574E-01
  0.64000E+01  0.18019E-02 -0.63528E-02
  0.64500E+01  0.19447E-02 -0.88802E-03
  0.65000E+01  0.19566E-02  0.46617E-02
  0.65500E+01  0.19071E-02  0.83272E-02
  0.66000E+01  0.18749E-02  0.10011E-01
  0.66500E+01  0.19268E-02  0.10737E-01
  0.67000E+01  0.20995E-02  0.10181E-01
  0.67500E+01  0.23909E-02  0.80604E-02
  0.68000E+01  0.27623E-02  0.56990E-02
  0.68500E+01  0.31498E-02  0.41922E-02
  0.69000E+01  0.34824E-02  0.36153E-02
  0.69500E+01  0.37041E-02  0.46342E-02
  0.70000E+01  0.37826E-02  0.68994E-02
  0.70500E+01  0.37192E-02  0.85248E-02
  0.71000E+01  0.35443E-02  0.96207E-02
  0.71500E+01  0.33058E-02  0.10524E-01
  0.72000E+01  0.30577E-02  0.12120E-01
  0.72500E+01  0.28412E-02  0.13321E-01
  0.73000E+01  0.26777E-02  0.13855E-01
  0.73500E+01  0.25661E-02  0.15691E-01
  0.74000E+01  0.24838E-02  0.19154E-01
  0.74500E+01  0.23985E-02  0.24382E-01
  0.75000E+01  0.22742E-02  0.31304E-01
  0.75500E+01  0.20855E-02  0.38052E-01
  0.76000E+01  0.18173E-02  0.42190E-01
  0.76500E+01  0.14721E-02  0.42329E-01
  0.77000E+01  0.10615E-02  0.38349E-01
  0.77500E+01  0.60545E-03  0.29305E-01
  0.78000E+01  0.12454E-03  0.15557E-01
  0.78500E+01 -0.36467E-03 -0.11244E-02
  0.79000E+01 -0.84959E-03 -0.19807E-01
  0.79500E+01 -0.13220E-02 -0.35615E-01
  0.80000E+01 -0.17756E-02 -0.46317E-01
  0.80500E+01 -0.22033E-02 -0.52294E-01
  0.81000E+01 -0.25945E-02 -0.53070E-01
  0.81500E+01 -0.29369E-02 -0.47171E-01
  0.82000E+01 -0.32174E-02 -0.36525E-01
  0.82500E+01 -0.34250E-02 -0.26155E-01
  0.83000E+01 -0.35546E-02 -0.17342E-01
  0.83500E+01 -0.36091E-02 -0.10075E-01
  0.84000E+01 -0.36003E-02 -0.47206E-02
  0.84500E+01 -0.35471E-02 -0.16725E-02
  0.85000E+01 -0.34730E-02 -0.14594E-02
  0.85500E+01 -0.34015E-02 -0.30539E-02
  0.86000E+01 -0.33533E-02 -0.54085E-02
