Time       moves_acc moves_gen     G(r)_1     S(Q)_1     Bragg
h/m/s/.th    WEIGHT PARAMETERS   0.100E+05  0.100E+05  0.100E+05
153518.663        1709        1861  0.808E+00  0.175E+00  0.300E-02
153530.662        3678        4495  0.591E-01  0.669E-01  0.461E-02
153542.664        4791        6746  0.364E-01  0.566E-01  0.544E-02
153554.661        5774        9054  0.338E-01  0.564E-01  0.533E-02
153606.667        6660       11282  0.329E-01  0.559E-01  0.527E-02
153618.671        7388       13271  0.325E-01  0.556E-01  0.524E-02
153630.662        8106       15265  0.320E-01  0.553E-01  0.522E-02
153642.668        8692       16917  0.314E-01  0.548E-01  0.524E-02
153654.667        9259       18555  0.313E-01  0.549E-01  0.518E-02
153706.671        9816       20233  0.310E-01  0.546E-01  0.516E-02
153718.667       10375       21854  0.310E-01  0.547E-01  0.513E-02
153730.666       11053       23779  0.305E-01  0.542E-01  0.513E-02
153742.666       11703       25672  0.303E-01  0.542E-01  0.510E-02
153754.663       12386       27706  0.298E-01  0.536E-01  0.513E-02
153806.665       12967       29591  0.297E-01  0.534E-01  0.511E-02
153818.664       13581       31527  0.294E-01  0.531E-01  0.512E-02
153830.667       14222       33441  0.292E-01  0.527E-01  0.512E-02
153842.668       14844       35360  0.290E-01  0.525E-01  0.510E-02
153854.668       15426       37256  0.287E-01  0.522E-01  0.510E-02
153906.662       16010       39128  0.288E-01  0.522E-01  0.508E-02
153918.663       16610       41021  0.286E-01  0.519E-01  0.508E-02
153930.668       17194       42872  0.287E-01  0.519E-01  0.506E-02
153942.666       17765       44667  0.285E-01  0.516E-01  0.508E-02
153954.663       18367       46556  0.282E-01  0.513E-01  0.509E-02
154006.663       18977       48512  0.280E-01  0.513E-01  0.508E-02
154018.666       19625       50463  0.280E-01  0.512E-01  0.506E-02
154030.665       20248       52395  0.280E-01  0.510E-01  0.505E-02
154042.664       20865       54367  0.279E-01  0.509E-01  0.506E-02
154054.664       21469       56271  0.279E-01  0.507E-01  0.506E-02
154106.670       22044       58010  0.279E-01  0.507E-01  0.504E-02
154118.667       22518       59606  0.278E-01  0.507E-01  0.504E-02
154130.666       23085       61520  0.277E-01  0.505E-01  0.504E-02
154142.666       23656       63441  0.277E-01  0.504E-01  0.504E-02
154154.666       24239       65365  0.276E-01  0.503E-01  0.505E-02
154206.662       24838       67295  0.276E-01  0.503E-01  0.503E-02
154218.664       25425       69225  0.276E-01  0.502E-01  0.503E-02
154230.665       25977       71128  0.274E-01  0.500E-01  0.504E-02
154242.664       26555       72969  0.273E-01  0.498E-01  0.505E-02
154254.665       27062       74789  0.272E-01  0.498E-01  0.505E-02
154306.667       27641       76706  0.273E-01  0.498E-01  0.503E-02
154318.662       28175       78589  0.273E-01  0.498E-01  0.503E-02
154330.662       28788       80545  0.275E-01  0.499E-01  0.499E-02
154342.668       29362       82480  0.273E-01  0.497E-01  0.502E-02
154354.664       29912       84352  0.273E-01  0.495E-01  0.502E-02
154406.668       30459       86112  0.273E-01  0.496E-01  0.501E-02
154418.665       31010       87892  0.270E-01  0.494E-01  0.504E-02
154430.664       31567       89795  0.268E-01  0.492E-01  0.505E-02
154442.663       32154       91714  0.271E-01  0.496E-01  0.501E-02
154454.664       32725       93593  0.270E-01  0.495E-01  0.501E-02
154506.667       33276       95498  0.269E-01  0.494E-01  0.502E-02
