 Q (1/Ang),Sr-Sr,Sr-Ti,Sr-O ,Ti-Ti,Ti-O ,O-O  
   1.33100 ,    -0.112294267195032E+02 ,     0.761114053895563E+01 ,     0.528745564556212E+00 ,    -0.112465481656473E+02 ,    -0.349026570849102E+01 ,    -0.336411026633886E+01 , 
   1.35100 ,    -0.978365456259724E+01 ,     0.725654434214375E+01 ,     0.360553875509589E+00 ,    -0.979958373015958E+01 ,    -0.326008161324590E+01 ,    -0.300663403407140E+01 , 
   1.37100 ,    -0.778826552180447E+01 ,     0.612718871498117E+01 ,     0.125608931733599E+00 ,    -0.780099374719396E+01 ,    -0.269947482952329E+01 ,    -0.251140281665882E+01 , 
   1.39100 ,    -0.536152427985163E+01 ,     0.424747882136092E+01 ,    -0.178964377255510E+00 ,    -0.536977842847957E+01 ,    -0.183663934253964E+01 ,    -0.191873125541698E+01 , 
   1.41100 ,    -0.264927877208415E+01 ,     0.169915609574264E+01 ,    -0.553416096627269E+00 ,    -0.265264477711334E+01 ,    -0.722823098060820E+00 ,    -0.127642779131515E+01 , 
   1.43100 ,     0.187309139711054E+00 ,    -0.138380562157321E+01 ,    -0.994793858084375E+00 ,     0.188356664246200E+00 ,     0.571753800744042E+00 ,    -0.635405251164020E+00 , 
   1.45100 ,     0.298470874105542E+01 ,    -0.482443842492431E+01 ,    -0.149645907635077E+01 ,     0.298887096850238E+01 ,     0.196340020230875E+01 ,    -0.451135054195071E-01 , 
   1.47100 ,     0.558949498872985E+01 ,    -0.841545214780345E+01 ,    -0.204776059518193E+01 ,     0.559479868631883E+01 ,     0.336141443808914E+01 ,     0.450787330266385E+00 , 
   1.49100 ,     0.786929467404818E+01 ,    -0.119343612619600E+02 ,    -0.263392636455878E+01 ,     0.787331087721101E+01 ,     0.467497870369646E+01 ,     0.818124270430864E+00 , 
   1.51100 ,     0.972132794428981E+01 ,    -0.151598889437126E+02 ,    -0.323622396389903E+01 ,     0.972143713441713E+01 ,     0.581993953411661E+01 ,     0.103495508067494E+01 , 
   1.53100 ,     0.110779241314437E+02 ,    -0.178883649754665E+02 ,    -0.383242479644323E+01 ,     0.110716019520041E+02 ,     0.672494854220091E+01 ,     0.109312695754083E+01 , 
   1.55100 ,     0.119086941182703E+02 ,    -0.199488316255464E+02 ,    -0.439758540956164E+01 ,     0.118937905815328E+02 ,     0.733650065692926E+01 ,     0.998531956600917E+00 , 
   1.57100 ,     0.122193633334612E+02 ,    -0.212156723697602E+02 ,    -0.490513407623320E+01 ,     0.121943498856655E+02 ,     0.762250512222879E+01 ,     0.770062917194633E+00 , 
   1.59100 ,     0.120475794153207E+02 ,    -0.216177742400152E+02 ,    -0.532822343599920E+01 ,     0.120117418921662E+02 ,     0.757414869034350E+01 ,     0.437393616707657E+00 , 
