Flight time (us) , Calculated , Experiment
   2464.4220000000000       ,   0.76794658153183915       ,   0.76510000000000000     
   2466.3909999999996       ,   0.54419469140488252       ,   0.66966000000000003     
   2468.3589999999999       ,   0.45206688824140734       ,   0.57189000000000001     
   2470.3440000000001       ,   0.36850080977720240       ,   0.45315000000000000     
   2472.3280000000000       ,   0.29961689092969890       ,   0.36770000000000003     
   2474.2970000000000       ,   0.24710749408695193       ,   0.29059000000000001     
   2476.2809999999999       ,   0.20884573734202616       ,   0.23375000000000001     
   2478.2660000000001       ,   0.18258221150895096       ,   0.21099999999999999     
   2480.2339999999999       ,   0.16547837475372235       ,   0.18570000000000000     
   2482.2190000000001       ,   0.15468139759594360       ,   0.16614999999999999     
   2484.2190000000001       ,   0.14843896042600946       ,   0.15554999999999999     
   2486.2030000000000       ,   0.14560660491377136       ,   0.15598999999999999     
   2488.1880000000001       ,   0.14538767515884576       ,   0.15734999999999999     
   2490.1870000000004       ,   0.14734933586533450       ,   0.15554999999999999     
   2492.1720000000000       ,   0.15106935789377823       ,   0.16097000000000000     
   2494.1559999999999       ,   0.15606068475064461       ,   0.16500000000000001     
   2496.1559999999999       ,   0.16174154307566263       ,   0.17210000000000000     
   2498.1559999999999       ,   0.16736430092786972       ,   0.17995000000000000     
   2500.1559999999999       ,   0.17241032319924013       ,   0.19309999999999999     
   2502.1559999999999       ,   0.17688336459581408       ,   0.19570000000000001     
   2504.1559999999999       ,   0.18158336526481966       ,   0.19725000000000001     
   2506.1559999999999       ,   0.18811347960477709       ,   0.20494999999999999     
   2508.1559999999999       ,   0.19859499915449152       ,   0.21265000000000001     
   2510.1720000000000       ,   0.21537754422439287       ,   0.22645999999999999     
   2512.1869999999999       ,   0.23978611148259002       ,   0.25114999999999998     
   2514.1879999999996       ,   0.27135113000207700       ,   0.28039999999999998     
   2516.2030000000000       ,   0.30804930984816647       ,   0.30695000000000000     
   2518.2190000000001       ,   0.34499808579316976       ,   0.34860000000000002     
   2520.2339999999999       ,   0.37591015324623944       ,   0.37307000000000001     
   2522.2500000000000       ,   0.39477853213885494       ,   0.39729999999999999     
   2524.2660000000001       ,   0.39767010618887855       ,   0.39921000000000001     
   2526.2809999999999       ,   0.38411144846769030       ,   0.41144999999999998     
   2528.2969999999996       ,   0.35692033834497106       ,   0.39178000000000002     
   2530.3280000000000       ,   0.32076998406217627       ,   0.35436000000000001     
   2532.3589999999999       ,   0.28147637245295781       ,   0.31902000000000003     
   2534.3750000000000       ,   0.24417646814624439       ,   0.28084999999999999     
   2536.3910000000001       ,   0.21181725367236573       ,   0.23271000000000000     
   2538.4220000000000       ,   0.18575835498112978       ,   0.20027000000000000     
   2540.4530000000000       ,   0.16637942313181173       ,   0.17807000000000001     
   2542.4839999999999       ,   0.15285971562060624       ,   0.17019000000000001     
   2544.5309999999999       ,   0.14390288394532166       ,   0.15795999999999999     
   2546.5780000000000       ,   0.13832716988468519       ,   0.14616999999999999     
   2548.6089999999999       ,   0.13503092720839829       ,   0.14538000000000001     
   2550.6410000000001       ,   0.13313476970558949       ,   0.14479000000000000     
   2552.6870000000004       ,   0.13208807279618684       ,   0.14138000000000001     
   2554.7339999999999       ,   0.13158511366908024       ,   0.14341000000000001     
   2556.7660000000001       ,   0.13146440023576950       ,   0.14177999999999999     
   2558.8129999999996       ,   0.13164258303105772       ,   0.13935000000000000     
   2560.8590000000004       ,   0.13205294795817002       ,   0.13804000000000000     
   2562.9059999999999       ,   0.13259852480756995       ,   0.13841999999999999     
   2564.9690000000001       ,   0.13315563744659817       ,   0.13464000000000001     
   2567.0160000000001       ,   0.13358083602812512       ,   0.13499000000000000     
   2569.0620000000004       ,   0.13379366083235117       ,   0.13444999999999999     
   2571.1250000000000       ,   0.13382116676544198       ,   0.13367000000000001     
   2573.1880000000001       ,   0.13384406123794651       ,   0.13605000000000000     
   2575.2500000000000       ,   0.13420087260557467       ,   0.13789000000000001     
   2577.2970000000000       ,   0.13532608660975248       ,   0.13760000000000000     
   2579.3440000000001       ,   0.13767640278411702       ,   0.13594999999999999     
   2581.4220000000000       ,   0.14167463689502025       ,   0.13980000000000001     
   2583.5000000000000       ,   0.14740853661876752       ,   0.14473000000000000     
   2585.5619999999999       ,   0.15456452622855052       ,   0.15126999999999999     
   2587.6250000000000       ,   0.16250083671938770       ,   0.16150000000000000     
   2589.6880000000001       ,   0.17019881921319216       ,   0.17308999999999999     
   2591.7659999999996       ,   0.17656781800789637       ,   0.17777000000000001     
   2593.8439999999996       ,   0.18068749064907985       ,   0.18657000000000001     
   2595.9059999999999       ,   0.18236090218114814       ,   0.19520000000000001     
   2597.9839999999999       ,   0.18226812597458281       ,   0.18951999999999999     
   2600.0630000000001       ,   0.18182050062854810       ,   0.18987000000000001     
   2602.1410000000001       ,   0.18293018571161643       ,   0.18779999999999999     
   2604.2339999999999       ,   0.18757440487848670       ,   0.19061000000000000     
   2606.3130000000001       ,   0.19711617356584199       ,   0.19947000000000001     
   2608.3910000000001       ,   0.21196070474057493       ,   0.20848000000000000     
   2610.4839999999999       ,   0.23128186008313781       ,   0.21664000000000000     
   2612.5780000000000       ,   0.25263176107519375       ,   0.24104999999999999     
   2614.6720000000000       ,   0.27249997821875921       ,   0.26589000000000002     
   2616.7660000000001       ,   0.28737671252574393       ,   0.28714000000000001     
   2618.8589999999999       ,   0.29493072930841618       ,   0.29816999999999999     
   2620.9530000000000       ,   0.29519738026662640       ,   0.29788999999999999     
   2623.0470000000000       ,   0.29095456923178281       ,   0.28843000000000002     
