Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
164734.531        3647       16122  0.576E-04
164746.531        5419       34295  0.548E-04
164758.531        7083       52427  0.625E-04
164810.530        8852       70569  0.558E-04
164822.531       10594       88713  0.554E-04
164834.530       12345      106837  0.526E-04
164846.531       14081      124945  0.568E-04
164858.531       15853      143044  0.469E-04
164910.530       17575      161136  0.546E-04
164922.531       19324      179325  0.500E-04
164934.531       21050      197488  0.539E-04
164946.531       22778      215379  0.473E-04
164958.531       24541      233513  0.546E-04
165010.530       26291      251839  0.527E-04
165022.531       28061      270323  0.514E-04
165034.531       29768      288601  0.497E-04
165046.530       31473      306899  0.542E-04
165058.530       33237      325154  0.520E-04
165110.531       35066      343474  0.493E-04
165122.530       36834      361863  0.516E-04
165134.530       38579      380284  0.474E-04
165146.531       40358      398669  0.476E-04
165158.530       42102      416997  0.514E-04
165210.530       43909      435394  0.535E-04
165222.530       45637      453817  0.554E-04
165234.530       47411      472303  0.579E-04
165246.531       49187      490676  0.585E-04
165258.531       50970      509066  0.541E-04
165310.531       52686      527477  0.496E-04
165322.530       54383      545747  0.533E-04
165334.531       56072      563893  0.488E-04
165346.531       57789      582251  0.520E-04
165358.531       59504      600396  0.600E-04
