Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
170134.589       10722       89877  0.567E-04
170234.590       19563      181745  0.510E-04
170334.589       28369      273378  0.527E-04
170434.590       37125      364827  0.489E-04
170534.590       45915      456350  0.434E-04
170634.590       54580      547551  0.465E-04
170734.590       63359      638985  0.381E-04
170834.590       72086      730686  0.441E-04
170934.590       80861      822515  0.524E-04
171034.590       89627      914007  0.524E-04
171134.590       98328     1005355  0.435E-04
171234.590      107156     1096837  0.544E-04
171334.589      115868     1188199  0.565E-04
171434.589      124687     1279638  0.509E-04
171534.590      133344     1371004  0.531E-04
171634.589      142010     1462039  0.502E-04
171734.590      150764     1553557  0.543E-04
171834.589      159468     1645028  0.546E-04
171934.590      168132     1736458  0.550E-04
172034.590      176926     1827718  0.528E-04
172134.589      185697     1918770  0.505E-04
172234.590      194454     2010443  0.493E-04
172334.590      203177     2102200  0.506E-04
172434.590      211943     2193745  0.490E-04
172534.589      220752     2285270  0.477E-04
172634.589      229375     2375001  0.459E-04
172734.591      237889     2465021  0.471E-04
172834.592      246368     2553861  0.509E-04
172934.589      254802     2641480  0.450E-04
173034.589      263638     2732220  0.474E-04
