 Q (1/Ang),S-S  ,S-F  ,F-F  
   0.71000 ,    -0.485694139191692E+01 ,     0.118711354705741E+01 ,    -0.623133204343395E+00 , 
   0.73000 ,    -0.553240346664080E+01 ,     0.877919260031756E+00 ,    -0.703706394336099E+00 , 
   0.75000 ,    -0.622815978723431E+01 ,     0.561571694468041E+00 ,    -0.787071107944866E+00 , 
   0.77000 ,    -0.692806973729567E+01 ,     0.245612997113600E+00 ,    -0.871247897147486E+00 , 
   0.79000 ,    -0.761596456623237E+01 ,    -0.625566361272329E-01 ,    -0.954294199156742E+00 , 
   0.81000 ,    -0.827592978272935E+01 ,    -0.355816683055074E+00 ,    -0.103433932247594E+01 , 
   0.83000 ,    -0.889256608102103E+01 ,    -0.627449963896669E+00 ,    -0.110961549681026E+01 , 
   0.85000 ,    -0.945124261661033E+01 ,    -0.871258347843408E+00 ,    -0.117848661740129E+01 , 
   0.87000 ,    -0.993835110503839E+01 ,    -0.108167386083164E+01 ,    -0.123947578990964E+01 , 
   0.89000 ,    -0.103415154381498E+02 ,    -0.125384533133499E+01 ,    -0.129128616030677E+01 , 
   0.91000 ,    -0.106498092090317E+02 ,    -0.138372342171717E+01 ,    -0.133282159550584E+01 , 
   0.93000 ,    -0.108539347921903E+02 ,    -0.146812390533325E+01 ,    -0.136320165724963E+01 , 
   0.95000 ,    -0.109463781919720E+02 ,    -0.150477566694026E+01 ,    -0.138177274398103E+01 , 
   0.97000 ,    -0.109215357231185E+02 ,    -0.149235196223911E+01 ,    -0.138811535052221E+01 , 
   0.99000 ,    -0.107758048253220E+02 ,    -0.143048232396030E+01 ,    -0.138204615365430E+01 , 
   1.01000 ,    -0.105076418322245E+02 ,    -0.131974666713530E+01 ,    -0.136361645647053E+01 , 
   1.03000 ,    -0.101176050203990E+02 ,    -0.116165986555521E+01 ,    -0.133310758368411E+01 , 
   1.05000 ,    -0.960832142563704E+01 ,    -0.958622143444041E+00 ,    -0.129101947298228E+01 , 
   1.07000 ,    -0.898445728459445E+01 ,    -0.713869176451827E+00 ,    -0.123805814362943E+01 , 
   1.09000 ,    -0.825263708160522E+01 ,    -0.431399934020974E+00 ,    -0.117511866746349E+01 , 
   1.11000 ,    -0.742133294394517E+01 ,    -0.115892256025960E+00 ,    -0.110326531041271E+01 , 
   1.13000 ,    -0.650072314145624E+01 ,     0.227393408358645E+00 ,    -0.102370908542150E+01 , 
   1.15000 ,    -0.550252208329623E+01 ,     0.592720153794199E+00 ,    -0.937783181116730E+00 , 
   1.17000 ,    -0.443978469946419E+01 ,     0.973988536222888E+00 ,    -0.846916760253695E+00 , 
   1.19000 ,    -0.332668854153894E+01 ,     0.136485598745256E+01 ,    -0.752607641702030E+00 , 
   1.21000 ,    -0.217829732745850E+01 ,     0.175885936557271E+01 ,    -0.656394389262545E+00 , 
   1.23000 ,    -0.101030998178965E+01 ,     0.214953823305020E+01 ,    -0.559828329945158E+00 , 
   1.25000 ,     0.161200520502814E+00 ,     0.253055645580216E+01 ,    -0.464446013690151E+00 , 
   1.27000 ,     0.132005401735778E+01 ,     0.289581976628273E+01 ,    -0.371742606278597E+00 , 
   1.29000 ,     0.245017560835936E+01 ,     0.323957046987406E+01 ,    -0.283150982314185E+00 , 
   1.31000 ,     0.353608484679232E+01 ,     0.355655800396369E+01 ,    -0.200000813037509E+00 , 
   1.33000 ,     0.456281193669519E+01 ,     0.384202791492694E+01 ,    -0.123524056515682E+00 , 
   1.35000 ,     0.551637009882611E+01 ,     0.409187246237907E+01 ,    -0.548182917593788E-01 , 
   1.37000 ,     0.638392553369101E+01 ,     0.430267978937406E+01 ,     0.516459449908821E-02 , 
   1.39000 ,     0.715400420240903E+01 ,     0.447178618775050E+01 ,     0.556312498373173E-01 , 
   1.41000 ,     0.781667454409185E+01 ,     0.459731282699608E+01 ,     0.959565332333416E-01 , 
   1.43000 ,     0.836370303835080E+01 ,     0.467818641063405E+01 ,     0.125689941698985E+00 , 
   1.45000 ,     0.878868000994107E+01 ,     0.471414355697129E+01 ,     0.144558765127246E+00 , 
   1.47000 ,     0.908711360854405E+01 ,     0.470571903595422E+01 ,     0.152468010931677E+00 , 
   1.49000 ,     0.925649047049773E+01 ,     0.465421832378211E+01 ,     0.149497200445336E+00 , 
   1.51000 ,     0.929630217035060E+01 ,     0.456167525486324E+01 ,     0.135894195760990E+00 , 
   1.53000 ,     0.920803718729758E+01 ,     0.443079584996718E+01 ,     0.112066267675141E+00 , 
   1.55000 ,     0.899513873334659E+01 ,     0.426488967373841E+01 ,     0.785686617095184E-01 , 
   1.57000 ,     0.866292940480129E+01 ,     0.406779031835582E+01 ,     0.360909590272972E-01 , 
   1.59000 ,     0.821850421475065E+01 ,     0.384376681799089E+01 ,    -0.145584382074732E-01 , 
   1.61000 ,     0.767059413045266E+01 ,     0.359742796656927E+01 ,    -0.724693423411051E-01 , 
   1.63000 ,     0.702940276504455E+01 ,     0.333362163579630E+01 ,    -0.136647964692246E+00 , 
   1.65000 ,     0.630641934790499E+01 ,     0.305733126904948E+01 ,    -0.206035867851392E+00 , 
   1.67000 ,     0.551421151318729E+01 ,     0.277357175816916E+01 ,    -0.279529303514895E+00 , 
   1.69000 ,     0.466620179361720E+01 ,     0.248728689403536E+01 ,    -0.355998560158449E+00 , 
   1.71000 ,     0.377643197999066E+01 ,     0.220325051880213E+01 ,    -0.434306958893801E+00 , 
   1.73000 ,     0.285931970073196E+01 ,     0.192597339950094E+01 ,    -0.513329156805851E+00 , 
   1.75000 ,     0.192941168675252E+01 ,     0.165961769214696E+01 ,    -0.591968444283557E+00 , 
   1.77000 ,     0.100113821267904E+01 ,     0.140792067614031E+01 ,    -0.669172755567898E+00 , 
   1.79000 ,     0.885731459722193E-01 ,     0.117412921514559E+01 ,    -0.743949149075386E+00 , 
   1.81000 ,    -0.794796108106426E+00 ,     0.960946147993784E+00 ,    -0.815376555071358E+00 , 
   1.83000 ,    -0.163628470227039E+01 ,     0.770489537332385E+00 ,    -0.882616631963802E+00 , 
   1.85000 ,    -0.242420872121084E+01 ,     0.604265411085366E+00 ,    -0.944922617835019E+00 , 
   1.87000 ,    -0.314806244238368E+01 ,     0.463154328940400E+00 ,    -0.100164610978702E+01 , 
   1.89000 ,    -0.379867152582999E+01 ,     0.347411799900880E+00 ,    -0.105224174922479E+01 , 
   1.91000 ,    -0.436831966277696E+01 ,     0.256682274290503E+00 ,    -0.109626983535614E+01 , 
   1.93000 ,    -0.485084674418782E+01 ,     0.190026141206749E+00 ,    -0.113339693102331E+01 , 
   1.95000 ,    -0.524171717502738E+01 ,     0.145958886722835E+00 ,    -0.116339456365610E+01 , 
   1.97000 ,    -0.553805754638300E+01 ,     0.122501315133648E+00 ,    -0.118613615889964E+01 , 
   1.99000 ,    -0.573866347392293E+01 ,     0.117239510653561E+00 ,    -0.120159237468625E+01 , 
   2.01000 ,    -0.584397600550215E+01 ,     0.127393024930284E+00 ,    -0.120982502867526E+01 , 
   2.03000 ,    -0.585602858114478E+01 ,     0.149889620465927E+00 ,    -0.121097983169506E+01 , 
