Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
190423.377      110572      130580
190435.380      208201      246519
190447.374      295428      350400
190459.374      419512      497335
190511.374      536342      635234
190523.374      615635      728719
190535.374      679466      804183
190547.379      725105      858011
190559.381      764021      904270
190611.382      820372      970802
190623.374      925511     1095741
190635.374     1055798     1250037
190647.373     1161726     1375205
190659.374     1291653     1529775
190711.374     1415330     1676882
190723.373     1507324     1785700
190735.374     1617560     1916720
190747.373     1744505     2067174
190759.376     1855686     2198435
190811.374     1977731     2342433
190823.374     2109558     2498480
190835.376     2245494     2659340
190847.374     2345469     2778305
190859.375     2467246     2922700
190911.375     2579209     3055957
190923.374     2712102     3213556
190935.373     2845828     3372190
190947.373     2982735     3534115
190959.373     3109160     3684212
191011.374     3235282     3833983
191023.374     3351123     3970179
191035.374     3478901     4121675
191047.374     3607795     4274395
191059.374     3736971     4426929
191111.373     3862451     4575274
191123.374     3984179     4719686
191135.376     4112014     4870730
191147.376     4240688     5022953
191159.374     4362034     5166693
191211.374     4482265     5308755
191223.373     4604604     5453924
191235.374     4733861     5607357
191247.374     4850244     5746182
191259.373     4980922     5902288
191311.374     5107612     6052892
191323.374     5243883     6214510
191335.376     5355892     6346766
191347.375     5469748     6481724
191359.379     5593552     6628309
191411.374     5713396     6771116
191423.373     5831105     6911584
191435.374     5967785     7073942
191447.373     6104900     7237048
191459.373     6239137     7396663
191511.382     6375888     7560404
191523.383     6487546     7692501
191535.374     6605721     7832353
191547.373     6736353     7987697
191559.371     6869059     8145609
191611.374     7002306     8304314
191623.372     7129285     8455340
191635.374     7253343     8602249
191647.373     7380757     8753412
191659.374     7502559     8897862
191711.374     7580819     8990607
191723.373     7699872     9131806
191735.373     7813017     9265675
191747.373     7954251     9432635
191759.373     8090454     9593389
191811.373     8216470     9742394
191823.374     8342183     9891701
191835.375     8468569    10041782
191847.402     8588670    10184020
191859.374     8721744    10342014
191911.374     8845799    10490045
191923.372     8969380    10637185
191935.373     9104090    10796997
191947.385     9216654    10930761
191959.379     9330541    11066004
192011.374     9458703    11217475
192023.374     9595644    11379903
192035.379     9716924    11523784
192047.373     9847256    11678221
192059.374     9980312    11836246
192111.374    10093212    11970246
192123.375    10221735    12122400
192135.374    10363034    12289800
192147.377    10492484    12443024
192159.374    10632063    12607993
192211.374    10730670    12724719
192223.376    10844404    12858945
192235.373    10963543    13000471
192247.374    11082107    13141295
192259.374    11216379    13301040
192311.375    11348347    13457360
192323.373    11465463    13596287
192335.374    11597864    13754494
192347.374    11734234    13916521
192359.373    11859884    14065693
192411.378    11988049    14217620
192423.374    12103253    14354980
192435.373    12227148    14502245
192447.374    12349791    14647580
192459.373    12473090    14793213
192511.374    12606762    14951635
192523.375    12712951    15076992
192535.373    12839128    15227003
192547.378    12961850    15373054
192559.375    13056533    15485930
192611.376    13175833    15627792
192623.374    13298068    15773069
192635.373    13425374    15923443
192647.376    13557955    16080101
192659.374    13671564    16214237
192711.374    13798662    16364965
192723.373    13912804    16500789
192735.374    14031373    16641574
192747.373    14148250    16780513
192759.374    14271933    16926855
192811.374    14392084    17069301
192823.376    14517897    17218786
192835.373    14654357    17381359
192847.374    14782895    17533595
192859.374    14896142    17668327
192911.374    15017918    17812587
192923.375    15126698    17941900
192935.373    15266756    18108159
192947.374    15390612    18255271
192959.373    15525843    18415654
193011.374    15645565    18557628
193023.372    15771329    18706580
193035.374    15897386    18855934
193047.373    16032904    19016676
193059.374    16157064    19163993
193111.377    16285066    19315351
193123.398    16409056    19462216
193135.375    16520785    19594501
193147.374    16628279    19721259
193159.373    16755581    19871056
193211.374    16874751    20011600
193223.373    16993721    20151975
193235.373    17129171    20311630
193247.373    17268413    20475883
193259.374    17376136    20603435
193311.373    17480857    20728117
193323.374    17602462    20871864
193335.374    17706637    20995136
193347.396    17827240    21137179
193359.374    17954078    21286636
193411.373    18078125    21432942
