Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
180856.799        9182       10833
180908.789       19410       22879
180920.778       31018       36500
180932.790       37363       43901
180944.789       48158       56623
180956.784       61035       71784
181008.798       69828       82262
181020.792       79293       93409
181032.795       88949      104833
181044.775       97677      115159
181056.805      109881      129557
181108.803      118501      139769
181120.780      128415      151523
181132.794      137129      161882
181144.773      150566      177746
181156.771      161630      190947
181208.776      177048      209298
181220.786      194333      229593
181232.774      209248      247091
181244.776      220559      260408
181256.783      231991      273926
181308.789      241054      284589
181320.774      254561      300509
181332.778      269928      318359
181344.782      283087      333796
181356.768      304146      358533
181408.770      316377      373069
181420.773      332397      391984
181432.781      345129      407057
181444.775      362310      427322
181456.802      376404      444164
181508.786      382040      450818
181520.772      391975      462507
181532.809      403930      476765
181544.791      411825      486148
181556.770      416304      491541
181608.816      422964      499411
181620.781      428486      505969
181632.774      436470      515435
181644.790      447428      528308
181656.774      459850      543101
181708.800      474824      560747
181720.786      481233      568347
181732.791      490033      578731
181744.772      499466      589840
181756.785      507780      599701
181808.798      517657      611303
181820.802      523749      618573
181832.777      533070      629656
181844.782      541294      639401
181856.771      548702      648200
181908.779      553163      653501
181920.787      558570      659930
181932.786      567002      669820
181944.785      579055      683903
181956.783      589471      696101
182008.795      596740      704648
182020.793      607518      717354
182032.774      617797      729408
182044.774      624136      736862
182056.782      631941      746017
182108.774      639865      755282
182120.783      653615      771453
182132.777      664287      784035
182144.774      674372      795885
182156.785      683220      806231
182208.768      696063      821425
182220.768      711500      839671
182232.781      725448      856199
182244.778      740949      874687
182256.777      752487      888340
182308.776      761510      898970
182320.776      774275      914021
182332.775      787003      929001
182344.778      798210      942173
182356.786      814719      961581
182408.796      824848      973532
182420.778      834563      984985
182432.790      840792      992280
182444.792      851827     1005194
182456.793      863595     1019121
182508.793      878162     1036456
182520.772      890133     1050559
182532.773      899419     1061489
182544.787      915549     1080536
182556.772      930708     1098520
182608.779      943926     1114270
182620.778      960047     1133269
182632.793      976121     1152202
182644.781      993982     1173124
182656.786     1002774     1183497
182708.785     1011851     1194189
182720.780     1020176     1204079
182732.781     1028822     1214293
182744.776     1036174     1222985
182756.791     1047490     1236309
182808.784     1064936     1256992
182820.774     1081390     1276440
182832.783     1095435     1292957
182844.792     1109837     1309890
182856.776     1120724     1322704
182908.770     1137022     1341928
182920.777     1151418     1358891
182932.780     1162636     1372138
182944.795     1176932     1389195
182956.777     1188120     1402408
183008.772     1201240     1417938
183020.788     1215271     1434453
183032.789     1225682     1446938
183044.771     1240827     1464940
183056.778     1254676     1481351
183108.768     1269283     1498695
183120.796     1281893     1513881
183132.795     1296086     1530702
183144.768     1311793     1549228
183156.779     1327470     1567928
183208.782     1338877     1581543
183220.773     1352057     1597263
183232.779     1364019     1611507
183244.772     1379027     1629303
183256.777     1392649     1645517
183308.789     1409041     1665093
183320.785     1420872     1678983
183332.785     1434569     1695215
183344.778     1442298     1704363
183356.774     1455648     1720166
183408.770     1464743     1730922
183420.787     1468276     1735082
183432.774     1473816     1741587
183444.781     1479152     1747834
183456.787     1483339     1752741
183508.788     1490466     1761236
183520.778     1499588     1772096
183532.775     1508836     1783046
183544.774     1516905     1792624
183556.774     1525697     1803129
183608.799     1536913     1816414
183620.770     1542267     1822795
183632.795     1545026     1826107
183644.795     1552900     1835516
183656.769     1560181     1844056
183708.782     1569518     1855204
183720.768     1581018     1868815
183732.778     1588816     1878027
183744.782     1597652     1888600
183756.779     1605556     1897985
183808.787     1610951     1904389
183820.771     1622547     1918116
183832.777     1632405     1929669
183844.782     1641449     1940208
