Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
005025.131       83374       99078
005037.145      141038      167200
005049.174      232303      274397
005101.135      293725      346807
005113.136      367950      434300
005125.139      451871      532419
005137.156      540382      635500
005149.138      624406      733026
005201.133      694467      813980
005213.146      752648      881297
005225.140      836482      978000
005237.150      922178     1077270
005249.143      994287     1161207
005301.139     1108860     1294303
005313.145     1209449     1410400
005325.139     1296781     1511512
005337.131     1407733     1639740
005349.139     1528501     1778300
005401.139     1655235     1924221
005413.163     1784133     2071701
005425.139     1909648     2215818
005437.139     2017830     2339988
005449.139     2112557     2448877
005501.139     2234796     2589487
005513.139     2334006     2703551
005525.139     2439622     2824719
005537.139     2563985     2967266
005549.139     2658776     3076025
005601.136     2768137     3201609
005613.133     2892664     3345026
005625.146     2996268     3464131
005637.131     3114204     3599570
005649.132     3235429     3738957
005701.132     3336648     3854895
005713.140     3449517     3984616
005725.132     3553822     4104264
005737.139     3674424     4242473
005749.145     3783151     4367240
005801.140     3902053     4503737
005813.139     4009201     4627024
005825.137     4119971     4754445
005837.140     4254115     4908501
005849.136     4353319     5022454
005901.138     4464131     5149116
005913.134     4556442     5254831
005925.145     4677010     5393700
005937.136     4793813     5527796
005949.139     4903743     5653946
010001.139     5023660     5792017
010013.139     5150820     5937580
010025.139     5275927     6081504
010037.139     5405792     6230593
010049.141     5533616     6377408
010101.139     5641291     6501149
010113.137     5770898     6649790
010125.161     5860544     6753138
010137.133     5971600     6881071
010149.148     6065507     6988962
010201.132     6188019     7129531
010213.133     6308377     7267267
010225.139     6408358     7382001
010237.139     6522020     7513196
010249.137     6643559     7652877
010301.137     6776545     7805728
010313.143     6887859     7933814
010325.134     7013911     8078251
010337.139     7131441     8213486
010349.135     7254671     8354553
010401.131     7360623     8476216
010413.131     7484596     8619341
010425.132     7607522     8760436
010437.146     7737261     8910047
010449.137     7858693     9049841
010501.163     7987970     9198402
010513.139     8099499     9325820
