Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
160323.740      476586      562452
160335.740     1911372     2255097
160347.740     3470982     4100589
160359.740     4964001     5864986
160411.740     6306323     7448780
160423.740     7636878     9026597
160435.740     8924806    10554237
160447.740    10286760    12168200
160459.740    11662383    13799128
160511.740    12989277    15370523
160523.740    14303364    16923800
160535.740    15636457    18500637
160547.742    17017491    20139646
160559.740    18495688    21902248
160611.740    19966292    23647219
160623.742    21332380    25264531
160635.740    22814201    27022582
160647.740    24293956    28787360
160659.740    25757850    30524768
160711.740    27236024    32278464
160723.740    28723055    34040442
160735.740    30173425    35768299
160747.740    31637590    37502089
160759.740    33098785    39233949
160811.740    34500039    40896404
160823.740    35938065    42600501
160835.740    37371722    44297827
160847.740    38799920    45999289
160859.740    40257847    47732550
160911.740    41720353    49467059
160923.740    43149307    51168656
160935.740    44598113    52892475
160947.740    46033254    54604288
160959.740    47475550    56319100
161011.740    48919147    58037286
161023.740    50331159    59718334
161035.740    51750356    61403737
161047.740    53177239    63106366
161059.740    54615530    64820718
161111.740    56040571    66525865
161123.740    57466874    68226587
161135.740    58900921    69939835
161147.740    60421838    71759816
161159.740    62025078    73675600
161211.742    63456720    75376889
161223.740    64890670    77083224
161235.740    66319560    78779848
161247.742    67726209    80454334
161259.740    69154412    82151088
161311.740    70586052    83855625
161323.740    72074380    85624262
161335.740    73675149    87521100
161347.740    75264616    89413665
161359.740    76862730    91321524
161411.740    78304762    93036803
161423.740    78809001    93633430
161435.740    79379916    94312100
161447.740    79961792    95004639
161459.741    80379080    95499701
161511.761    80857377    96069790
161523.740    81321354    96623324
161535.746    81717784    97098911
161547.740    82335302    97836184
161559.740    83667662    99416926
161611.740    85014724   101023590
161623.740    86356975   102616216
161635.740    87716183   104232800
161647.740    89037939   105806805
161659.740    90390239   107420771
161711.740    91778457   109071352
161723.740    93204943   110764862
161735.740    94623614   112450034
161747.740    95836951   113894615
161759.747    96305241   114452868
161811.740    96851385   115111062
161823.750    97303786   115648567
161835.758    97881459   116332866
161847.740    98845193   117478610
161859.740   100190852   119075700
161911.740   101531537   120673202
161923.740   102877370   122275721
161935.740   104236172   123890323
161947.740   105646690   125572493
161959.742   107094908   127299495
162011.746   108564413   129042944
162023.742   110004225   130759654
162035.749   110720967   131616168
162047.748   111240039   132233706
162059.749   111766537   132860435
162111.743   112252299   133439423
162123.745   112750855   134034076
162135.743   113129419   134486924
162147.755   113732651   135207202
162159.744   114302787   135886752
162211.753   114773507   136444441
162223.742   115359125   137141394
162235.745   115913046   137804164
162247.742   116484030   138482241
162259.745   117016489   139114700
162311.749   117493937   139683769
162323.743   117935273   140205403
162335.744   118458284   140823231
162347.750   118920251   141371590
162359.745   119432202   141977150
162411.760   119767283   142374959
162423.742   120300336   143008954
162435.742   120795534   143598601
162447.743   121307096   144211891
162459.748   121942991   144965233
162511.753   122535193   145669083
162523.748   123035202   146266455
162535.745   123514858   146839406
162547.743   124108178   147550601
162559.748   124651073   148194406
162611.744   125205563   148850070
162623.743   125668371   149398177
162635.758   126133489   149950789
162647.755   126602380   150506535
162659.748   127155211   151166828
162711.762   127601925   151695329
162723.746   128161617   152357123
162735.742   128627589   152909673
162747.745   129233792   153631872
162759.745   129728600   154218824
162811.745   130196683   154776033
162823.745   130597148   155252902
162835.771   131165054   155930696
162847.743   131520460   156357546
162859.769   132120787   157074700
162911.743   132714728   157783407
162923.745   133241942   158411132
162935.745   133626483   158868444
162947.748   134064955   159390562
162959.745   134593057   160014684
163011.743   135167962   160699457
163023.745   135700573   161334328
163035.742   136241240   161983001
163047.744   136726566   162564701
163059.745   137200461   163130130
163111.745   137678532   163701534
163123.749   138252801   164388901
163135.751   138734044   164961554
163147.754   139254266   165582211
163159.754   139683687   166092310
163211.748   140164865   166664316
163223.744   140602191   167183966
163235.769   141112034   167789718
163247.756   141596567   168366804
163259.749   142207349   169095701
163311.742   142632839   169602500
