Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
021657.028       12113       13336
021709.006       26896       29886
021721.033       39769       44320
021733.016       49983       55856
021745.022       58613       65595
021757.006       72661       81481
021809.009       83171       93407
021821.026       93210      104755
021833.016      103576      116531
021845.015      115174      129659
021857.023      129669      146133
021909.010      143526      161890
021921.013      157935      178202
021933.022      178734      202007
021945.017      193636      219086
021957.016      206494      233835
022009.005      230338      261183
022021.023      258613      293503
022033.009      290739      330236
022045.012      307409      349245
022057.009      320503      364260
022109.004      349506      397548
