Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
095957.928     1800295     2237910
100009.934     3276891     4086302
100021.930     4716668     5886544
100033.930     6190977     7733249
100045.935     7659376     9565371
100057.930     9132346    11394663
100109.930    10594021    13226309
100121.934    12052512    15047070
100133.928    13528018    16887221
100145.934    15001446    18729028
100157.928    16474789    20572746
100209.930    17959382    22428841
100221.928    19440704    24282589
100233.930    20829802    26028741
100245.930    22229771    27774813
100257.934    23626289    29520667
100309.928    25033694    31274897
100321.930    26428025    33018497
100333.928    27825428    34766333
100345.930    29219106    36506236
100357.930    30568165    38187257
100409.928    31972716    39948329
100421.930    33396610    41720945
100433.934    34820847    43493506
100445.928    36214306    45226345
100457.930    37599285    46960194
100509.930    39054697    48771902
100521.934    40523093    50604195
100533.930    41984961    52429580
100545.934    43431175    54232840
100557.928    44851941    56008939
100609.928    46212395    57706330
100621.928    47574748    59410045
100633.928    49055715    61254441
100645.930    50538736    63110416
100657.928    52092808    65052516
100709.928    53604164    66941315
100721.928    55120869    68837533
100733.929    56606951    70693200
100745.928    58154013    72629297
100757.928    59703665    74560505
100809.930    61203640    76433936
100821.930    62711560    78311705
100833.930    64204046    80172895
100845.930    65678202    82016965
100857.930    67120488    83826757
100909.928    68648166    85741754
100921.930    70168360    87638500
100933.930    71629630    89463215
100945.930    73120779    91327128
100957.934    74698943    93300276
101009.930    76276428    95265914
101021.928    77805797    97176987
101033.930    79360487    99111284
101045.930    80900274   101037641
101057.930    82413348   102923559
101109.928    83914611   104795266
101121.928    85392942   106651109
101133.930    86878773   108506399
101145.934    88358756   110351175
101157.930    89826635   112174427
101209.930    91273703   113987822
101221.928    92804798   115896427
101233.930    94313598   117778609
101245.930    95882317   119740727
101257.934    97440681   121689908
101309.928    98935025   123561228
101321.928   100437075   125437789
101333.930   101920673   127288068
101345.930   103399884   129132267
101357.930   104881906   130989213
101409.928   106344753   132808313
101421.930   107721197   134531504
101433.930   109204060   136380301
101445.930   110736260   138292947
101457.928   112207380   140138007
101509.928   113554738   141818238
101521.930   114991686   143608825
101533.930   116486408   145468286
101545.928   117972149   147324065
101557.928   119446002   149165372
101609.930   120930724   151022515
101621.930   122466403   152941823
101633.930   123837384   154654827
101645.930   125226131   156390740
101657.930   126747107   158293806
101709.930   128267385   160198600
101721.930   129810160   162118733
101733.930   131306574   163989324
101745.928   132771915   165814306
101757.930   134271757   167684666
101809.930   135694821   169464157
101821.930   137215716   171363162
101833.929   138641447   173147315
101845.934   140110633   174992042
101857.930   141616217   176886834
101909.928   143125965   178775077
101921.930   144679683   180719930
101933.928   146248221   182686953
101945.930   147846503   184690498
101957.930   149443534   186694015
102009.930   150999094   188646782
102021.928   152406290   190409395
102033.930   153797903   192152604
102047.642   155158352   193863901
102059.640   156532166   195582167
102111.642   157928522   197334887
102123.642   159326674   199083321
102135.640   160687912   200790524
102147.642   162032332   202479762
102159.640   163353085   204136303
102211.642   164745660   205883177
102223.642   166132199   207630084
102235.640   167520766   209367133
102247.646   168890040   211080439
102259.642   170234282   212757211
102311.642   171604408   214476369
102323.642   172975655   216193741
102335.642   174292718   217843668
102347.640   175648864   219554455
102359.641   177056446   221318703
102411.640   178436649   223050130
102423.642   179803558   224763934
102435.641   181113487   226404073
102447.642   182429397   228053952
102459.641   183947059   229956556
102511.642   185331498   231695102
102523.641   186755245   233472644
102535.641   188183918   235269427
102547.642   189603099   237049476
102559.640   190990527   238787285
102611.642   192316009   240452305
102623.646   193592823   242055471
102635.642   194900669   243694861
102647.640   196161724   245276314
102659.642   197463320   246905239
102711.642   198827946   248620222
102723.640   200131702   250253507
102735.642   201451801   251905838
102747.642   202723774   253502942
102759.642   204190432   255340927
102811.640   205619983   257125845
102823.640   207044840   258912243
102835.640   208487341   260724503
102847.642   209874331   262458562
102859.642   211252733   264188079
102911.642   212640857   265925177
102923.642   213953588   267565923
102935.642   215223855   269167326
102947.646   216508250   270777289
