Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
235534.798      100305     1011892  0.211E-01  0.346E+00
235546.794      100872     1020298  0.213E-01  0.346E+00
235558.800      101354     1027403  0.213E-01  0.346E+00
235610.799      101943     1035667  0.213E-01  0.346E+00
235622.803      102451     1043034  0.212E-01  0.346E+00
235634.799      102900     1049747  0.211E-01  0.346E+00
235646.799      103550     1059149  0.211E-01  0.346E+00
235658.795      103954     1065410  0.209E-01  0.346E+00
235710.797      104416     1072004  0.209E-01  0.346E+00
235722.796      104970     1080161  0.208E-01  0.346E+00
235734.804      105512     1088150  0.207E-01  0.346E+00
235746.799      106116     1096437  0.206E-01  0.346E+00
235758.799      106723     1104638  0.208E-01  0.345E+00
235810.798      107283     1112975  0.207E-01  0.345E+00
235822.794      108107     1121108  0.204E-01  0.349E+00
235834.799      109506     1129934  0.201E-01  0.349E+00
235846.801      110050     1137279  0.204E-01  0.347E+00
235858.806      110544     1143939  0.202E-01  0.347E+00
235910.802      111083     1151687  0.202E-01  0.347E+00
235922.794      111614     1159165  0.202E-01  0.346E+00
235934.795      112220     1167500  0.205E-01  0.345E+00
235946.801      112796     1176148  0.206E-01  0.345E+00
235958.796      113364     1183934  0.205E-01  0.345E+00
000010.803      113787     1189740  0.205E-01  0.345E+00
000022.792      114450     1199444  0.205E-01  0.344E+00
000034.799      115017     1207587  0.205E-01  0.344E+00
000046.799      115645     1216486  0.204E-01  0.344E+00
000058.802      116167     1223962  0.206E-01  0.344E+00
000110.803      116640     1231049  0.206E-01  0.343E+00
000122.796      117115     1238429  0.204E-01  0.344E+00
000134.794      117738     1247345  0.204E-01  0.343E+00
000146.808      118389     1256631  0.205E-01  0.343E+00
000158.800      118777     1262843  0.205E-01  0.343E+00
000210.807      119312     1271227  0.206E-01  0.343E+00
000222.795      119931     1280461  0.206E-01  0.343E+00
000234.795      120502     1289484  0.204E-01  0.343E+00
000246.798      121048     1297712  0.204E-01  0.342E+00
000258.797      121491     1304751  0.206E-01  0.342E+00
000310.799      122966     1313765  0.196E-01  0.348E+00
000322.859      123674     1321804  0.197E-01  0.346E+00
000334.802      124254     1329780  0.202E-01  0.344E+00
000346.807      124801     1337594  0.201E-01  0.344E+00
000358.794      125205     1343519  0.204E-01  0.343E+00
000410.799      125831     1353088  0.203E-01  0.343E+00
000422.798      127015     1361181  0.196E-01  0.349E+00
000434.853      127983     1368762  0.198E-01  0.346E+00
000446.796      128594     1376916  0.196E-01  0.345E+00
000458.798      129117     1384660  0.196E-01  0.344E+00
000510.796      129581     1391236  0.197E-01  0.344E+00
000522.799      130101     1398921  0.197E-01  0.343E+00
000534.795      130581     1406024  0.195E-01  0.343E+00
000546.794      131094     1413903  0.195E-01  0.343E+00
000558.800      131671     1422932  0.197E-01  0.343E+00
000610.794      132251     1431869  0.197E-01  0.342E+00
000622.795      132789     1439834  0.196E-01  0.342E+00
000634.802      133313     1448084  0.196E-01  0.342E+00
000646.795      133917     1457031  0.196E-01  0.342E+00
000658.797      134412     1464532  0.195E-01  0.342E+00
000710.798      134853     1471501  0.196E-01  0.342E+00
000722.800      135457     1480634  0.197E-01  0.342E+00
000734.799      135961     1488545  0.197E-01  0.341E+00
000746.799      136496     1496613  0.195E-01  0.342E+00
000758.847      137124     1506035  0.197E-01  0.341E+00
000810.799      137648     1513944  0.198E-01  0.341E+00
000822.799      138164     1522420  0.200E-01  0.341E+00
000834.794      138660     1530066  0.197E-01  0.341E+00
000846.797      139199     1538372  0.197E-01  0.341E+00
000858.799      139622     1544784  0.196E-01  0.341E+00
000910.797      140148     1552606  0.199E-01  0.340E+00
000922.795      140703     1561274  0.197E-01  0.340E+00
000934.816      141241     1569313  0.196E-01  0.341E+00
000946.795      141665     1575729  0.194E-01  0.341E+00
000958.793      142588     1583714  0.185E-01  0.346E+00
001010.815      143861     1591552  0.185E-01  0.345E+00
001022.848      145272     1600357  0.185E-01  0.347E+00
001034.796      145809     1606597  0.187E-01  0.345E+00
001046.800      146481     1615140  0.186E-01  0.344E+00
001058.832      147075     1623457  0.195E-01  0.361E+00
001110.802      147544     1630771  0.187E-01  0.343E+00
001122.796      148106     1639142  0.189E-01  0.342E+00
001134.801      148618     1646909  0.189E-01  0.342E+00
001146.794      149192     1655677  0.189E-01  0.342E+00
001158.795      149770     1664480  0.190E-01  0.341E+00
001210.799      150356     1673257  0.191E-01  0.341E+00
001222.799      150940     1682143  0.190E-01  0.341E+00
001234.799      151470     1690321  0.190E-01  0.341E+00
001246.793      152029     1698939  0.190E-01  0.341E+00
001258.801      152581     1706990  0.191E-01  0.341E+00
