Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
120942.517       31778      538376  0.419E-01  0.254E+00
120954.517       57796      985229  0.408E-01  0.248E+00
121006.517       80174     1354039  0.415E-01  0.242E+00
121018.517      105083     1760197  0.422E-01  0.238E+00
121030.517      131029     2182478  0.408E-01  0.238E+00
121042.517      154873     2553313  0.453E-01  0.228E+00
121054.517      179496     2930960  0.427E-01  0.231E+00
121106.517      203019     3289475  0.440E-01  0.229E+00
121118.517      225929     3637855  0.428E-01  0.230E+00
121130.555      248994     3988000  0.548E-01  0.269E+00
121142.519      273499     4349752  0.435E-01  0.227E+00
121154.517      297471     4709774  0.455E-01  0.222E+00
121206.551      324018     5098000  0.767E-01  0.361E+00
121218.517      348601     5456830  0.454E-01  0.222E+00
121230.517      374475     5831991  0.456E-01  0.222E+00
121242.517      400191     6202556  0.484E-01  0.217E+00
121254.517      425810     6573600  0.474E-01  0.218E+00
121306.517      452848     6965070  0.456E-01  0.220E+00
121318.517      479423     7344450  0.458E-01  0.220E+00
121330.517      506138     7728437  0.468E-01  0.219E+00
121342.538      531776     8100000  0.411E-01  0.194E+00
121354.517      557260     8466723  0.484E-01  0.215E+00
121406.558      582115     8826000  0.518E-01  0.226E+00
121418.517      607099     9179825  0.483E-01  0.216E+00
121430.519      632489     9545319  0.488E-01  0.214E+00
121442.517      655431     9879313  0.488E-01  0.214E+00
121454.517      680930    10243270  0.475E-01  0.216E+00
121506.517      706386    10609184  0.456E-01  0.220E+00
121518.517      732339    10978866  0.473E-01  0.218E+00
121530.517      758161    11341302  0.479E-01  0.215E+00
121542.535      783933    11702000  0.443E-01  0.210E+00
121554.526      810609    12080000  0.486E-01  0.229E+00
121606.517      836776    12449848  0.468E-01  0.218E+00
121618.517      861988    12799840  0.490E-01  0.213E+00
121630.517      886539    13145694  0.480E-01  0.215E+00
121642.517      912337    13514540  0.487E-01  0.214E+00
121654.522      938211    13872000  0.628E-01  0.280E+00
121706.517      963897    14227347  0.487E-01  0.213E+00
121718.519      988805    14579674  0.465E-01  0.218E+00
121730.516     1013703    14931964  0.467E-01  0.217E+00
121742.517     1040331    15304124  0.474E-01  0.216E+00
121754.517     1067245    15689422  0.460E-01  0.217E+00
121806.517     1094211    16069109  0.464E-01  0.218E+00
121818.552     1119771    16434000  0.428E-01  0.188E+00
121830.517     1145379    16794434  0.485E-01  0.213E+00
121842.517     1171445    17162858  0.466E-01  0.218E+00
121854.517     1196892    17521638  0.466E-01  0.217E+00
121906.517     1224003    17899621  0.474E-01  0.216E+00
121918.519     1250853    18270647  0.499E-01  0.212E+00
121930.517     1276867    18629613  0.495E-01  0.212E+00
