   r (Ang),     Ge-Ge,     Ge-O ,     O-O  
   0.06545 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.13090 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.19635 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.26180 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.32725 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.39271 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.45816 ,         0.000000000000000 ,         0.196259946276188 ,         0.000000000000000 , 
   0.52361 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.58906 ,         0.000000000000000 ,         0.475219356039773 ,         0.000000000000000 , 
   0.65451 ,         0.000000000000000 ,         0.000000000000000 ,         0.096044904192660 , 
   0.71996 ,         0.000000000000000 ,         0.079557541883465 ,         0.079387425970671 , 
   0.78541 ,         0.000000000000000 ,         1.604586813510812 ,         1.401011294761757 , 
   0.85086 ,         0.000000000000000 ,         4.500823834488569 ,         3.922693526634570 , 
   0.91631 ,         0.000000000000000 ,         3.291545371822018 ,         2.255034754367911 , 
   0.98176 ,         0.000000000000000 ,         3.637820884974956 ,         2.476969987505484 , 
   1.04721 ,         0.000000000000000 ,         4.137872411075244 ,         2.702634219117376 , 
   1.11267 ,         0.000000000000000 ,         3.798809556835090 ,         2.327614613859016 , 
   1.17812 ,         0.000000000000000 ,         3.983032275596405 ,         2.194881670151315 , 
   1.24357 ,         0.000000000000000 ,         3.201396954258244 ,         1.757003317732607 , 
   1.30902 ,         0.000000000000000 ,         4.237677790205115 ,         2.066255774722574 , 
   1.37447 ,         0.000000000000000 ,         4.018490069455537 ,         1.917777032743973 , 
   1.43992 ,         0.000000000000000 ,         4.576921143404234 ,         2.084996151354000 , 
   1.50537 ,         0.000000000000000 ,         4.387919847843538 ,         1.725979420989375 , 
   1.57082 ,         0.000000000000000 ,         4.983066438635770 ,         2.035685151470697 , 
   1.63627 ,         1.173737641634022 ,         4.577035219561714 ,         1.737707250059788 , 
   1.70172 ,         1.199428643099332 ,         4.773207358496986 ,         1.748803325779898 , 
   1.76718 ,         1.165201034089487 ,         4.545137189929833 ,         1.661228845794773 , 
   1.83263 ,         0.738727706106986 ,         2.002585679895630 ,         1.655036724548510 , 
   1.89808 ,         0.688664320495455 ,         0.332142687242997 ,         1.588590137820119 , 
   1.96353 ,         0.815128788991463 ,         0.428097799672900 ,         1.911641279366156 , 
   2.02898 ,         0.924106746989765 ,         0.430995895199602 ,         1.930333519251646 , 
   2.09443 ,         0.942670814924001 ,         0.479734113938515 ,         1.595694368053983 , 
   2.15988 ,         1.205516492207317 ,         0.495327727291590 ,         1.482805741001195 , 
   2.22533 ,         0.968644035733960 ,         0.416626210468805 ,         1.579794326225264 , 
   2.29078 ,         0.756486115149786 ,         0.574014618735954 ,         1.600665649059144 , 
   2.35623 ,         0.804426167052603 ,         0.475677678571799 ,         1.379482220020674 , 
   2.42168 ,         1.071788428984941 ,         0.591037622616147 ,         1.376138916996494 , 
   2.48714 ,         0.641762500941601 ,         0.680414625909217 ,         1.298011214576722 , 
   2.55259 ,         0.990072391693291 ,         0.626971660949477 ,         1.276540067218962 , 
   2.61804 ,         0.917057033477090 ,         0.583975809103560 ,         0.985229337503416 , 
   2.68349 ,         0.895840547542638 ,         0.636062014950225 ,         1.143607097956522 , 
   2.74894 ,         1.028807477530822 ,         0.709888236873150 ,         1.035310439214091 , 
   2.81439 ,         0.981514511327684 ,         0.656416947719186 ,         0.951328909737951 , 
   2.87984 ,         1.136857837975741 ,         0.701553491942114 ,         0.948299256129577 , 
   2.94529 ,         0.972484365046135 ,         0.742074355114656 ,         0.859155479951632 , 
