Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
104919.690      378854      412922
104931.690      807421      880290
104943.690     1235859     1348160
104955.690     1669169     1821872
105007.690     2065261     2254411
105019.690     2491429     2719807
105031.690     2919812     3187641
105043.690     3346402     3654491
105055.690     3774945     4121679
105107.690     4208609     4597447
105119.690     4643024     5072089
105131.690     5075281     5543327
105143.690     5508394     6017040
105155.690     5945009     6494705
105207.690     6375143     6966816
105219.690     6814727     7447343
105231.690     7248575     7921538
105243.690     7687912     8401564
105255.690     8127041     8881207
105307.690     8565580     9358967
105319.690     9000731     9833985
105331.690     9429460    10302330
105343.690     9864909    10776385
105355.690    10304948    11256027
105407.690    10742130    11733250
105419.690    11175374    12206802
105431.690    11602845    12673880
105443.690    12040068    13151083
105455.690    12479324    13630428
105507.690    12914690    14105462
105519.690    13351394    14580925
105531.690    13783454    15052191
105543.690    14221773    15529464
105555.690    14660054    16007358
105607.690    15097746    16484674
105619.690    15535244    16961583
105631.690    15973502    17439432
105643.690    16409968    17917360
105655.694    16847435    18393811
105707.690    17280005    18865553
105719.690    17703652    19329934
105731.690    18135829    19801802
105743.690    18570380    20277058
105755.690    19005039    20751870
105807.690    19431934    21217412
105819.691    19866004    21692373
105831.690    20296895    22164893
105843.690    20729507    22639623
105855.690    21163732    23114338
105907.690    21600083    23592400
105919.690    22032619    24064987
105931.690    22451049    24521621
105943.690    22876486    24985438
105955.690    23307918    25457099
110007.690    23740396    25929234
110019.690    24169667    26399255
110031.690    24586904    26855825
110043.691    24925290    27224990
110055.691    25144468    27463869
110107.690    25578089    27935319
110119.690    26018711    28413200
110131.691    26443287    28874950
110143.693    26677582    29129604
110155.690    27025350    29508786
110207.690    27455642    29979269
110219.690    27884715    30447343
110231.690    28278366    30877406
110243.690    28543951    31166993
110255.690    28811711    31460635
110307.690    29232960    31921108
110319.690    29667654    32395804
110331.690    30067884    32833038
110343.699    30416102    33213526
110355.690    30663238    33483749
110407.690    31095604    33956161
110419.690    31525748    34425465
110431.691    31943966    34883042
110443.690    32364611    35340694
110455.693    32604314    35601566
110507.690    32995028    36029176
110519.690    33428367    36502897
110531.690    33859305    36974863
110543.690    34248750    37399096
110555.693    34532635    37709424
110607.690    34848280    38054181
110619.690    35282815    38528424
110631.690    35704938    38989329
110643.690    36118729    39441118
110655.709    36419416    39769990
110707.690    36689041    40063358
110719.690    37121898    40533477
110731.690    37556598    41008116
110743.690    37982684    41473164
110755.693    38374813    41900382
110807.692    38622450    42169587
110819.690    39049656    42635489
110831.690    39482430    43108266
110843.690    39910092    43576096
110855.690    40328291    44032431
110907.691    40557502    44281554
110919.690    40931309    44688583
110931.692    41355924    45151454
110943.692    41773753    45606871
110955.696    42171418    46040683
111007.691    42411034    46302806
111019.690    42795469    46721235
111031.690    43217481    47181006
111043.690    43635045    47636428
111055.690    44073717    48115153
111107.690    44511451    48593156
111119.690    44948509    49072406
111131.691    45379261    49543431
111143.690    45816747    50020582
111155.690    46252239    50495880
111207.690    46690850    50972956
111219.690    47115938    51436439
111231.690    47546330    51907133
111243.690    47978553    52379254
111255.690    48412654    52852307
111307.691    48838922    53318628
111319.690    49260430    53778181
111331.690    49689909    54246531
111343.690    50124513    54719545
111355.691    50551825    55186396
111407.691    50983268    55655988
111419.690    51409461    56120025
111431.690    51830792    56581275
111443.690    52239872    57027688
111455.691    52661056    57488004
111507.690    53091052    57956397
111519.690    53523801    58429042
111531.690    53957123    58901269
111543.690    54387890    59369253
111555.691    54817174    59838325
111607.690    55242433    60302256
111619.690    55671302    60771913
111631.691    56099987    61238245
111643.690    56523590    61699966
111655.690    56944174    62158288
111707.691    57349758    62601290
111719.690    57777374    63067774
111731.690    58205228    63535872
111743.691    58634297    64004360
111755.690    59063163    64471952
111807.690    59487917    64934789
111819.690    59900008    65382638
111831.691    60329492    65850441
111843.691    60757303    66317399
111855.691    61176988    66776922
111907.691    61596463    67236790
