 Q (1/Ang),Sr-Sr,Sr-Ti,Sr-O ,Ti-Ti,Ti-O ,O-O  
   0.84600 ,    -0.101423642729530E+02 ,     0.243120176578392E+01 ,     0.403248367804411E+00 ,    -0.101423642729530E+02 ,    -0.252632737623834E+01 ,    -0.311195584578140E+01 , 
   0.86600 ,    -0.110776343618596E+02 ,     0.400495314315094E+01 ,     0.358638299640698E+00 ,    -0.110776343618596E+02 ,    -0.372841555512424E+01 ,    -0.345345258752606E+01 , 
   0.88600 ,    -0.113922937705911E+02 ,     0.519397079607804E+01 ,     0.282559681928813E+00 ,    -0.113922937705911E+02 ,    -0.454014959947584E+01 ,    -0.360905813557783E+01 , 
   0.90600 ,    -0.110688969105610E+02 ,     0.589311419314513E+01 ,     0.180203850446073E+00 ,    -0.110688969105610E+02 ,    -0.490253856846139E+01 ,    -0.356949640322295E+01 , 
   0.92600 ,    -0.101503166979066E+02 ,     0.604172513761954E+01 ,     0.588458255571518E-01 ,    -0.101503166979066E+02 ,    -0.479887015472963E+01 ,    -0.334420834893079E+01 , 
   0.94600 ,    -0.873454411104200E+01 ,     0.562868678963519E+01 ,    -0.726293378412126E-01 ,    -0.873454411104200E+01 ,    -0.425478082885685E+01 ,    -0.295993426224148E+01 , 
   0.96600 ,    -0.696462513312968E+01 ,     0.469323730897888E+01 ,    -0.204313050359640E+00 ,    -0.696462513312968E+01 ,    -0.333464283415965E+01 ,    -0.245775041128299E+01 , 
   0.98600 ,    -0.501474233705703E+01 ,     0.332147854415421E+01 ,    -0.325933692518807E+00 ,    -0.501474233705703E+01 ,    -0.213469424800465E+01 ,    -0.188886990736488E+01 , 
   1.00600 ,    -0.307376448024129E+01 ,     0.163887449163119E+01 ,    -0.427548489605813E+00 ,    -0.307376448024129E+01 ,    -0.773602151707564E+00 ,    -0.130962048648431E+01 , 
   1.02600 ,    -0.132777980581170E+01 ,    -0.200635294617871E+00 ,    -0.500223368257621E+00 ,    -0.132777980581170E+01 ,     0.618653588165524E+00 ,    -0.776075514108983E+00 , 
   1.04600 ,     0.568166739787163E-01 ,    -0.202800229468009E+01 ,    -0.536659532102376E+00 ,     0.568166739787163E-01 ,     0.191257201905176E+01 ,    -0.338834130075344E+00 , 
   1.06600 ,     0.948196385216579E+00 ,    -0.367380405677892E+01 ,    -0.531730129768898E+00 ,     0.948196385216579E+00 ,     0.299056646307349E+01 ,    -0.384212914404026E-01 , 
   1.08600 ,     0.126065875032106E+01 ,    -0.498311990786359E+01 ,    -0.482896995775463E+00 ,     0.126065875032106E+01 ,     0.375707206371864E+01 ,     0.982882529233810E-01 , 
   1.10600 ,     0.961929219092726E+00 ,    -0.582930338974143E+01 ,    -0.390485380506924E+00 ,     0.961929219092726E+00 ,     0.414649495832769E+01 ,     0.603194860262966E-01 , 
   1.12600 ,     0.756383523973181E-01 ,    -0.612549297786371E+01 ,    -0.257803172691029E+00 ,     0.756383523973181E-01 ,     0.412837973362479E+01 ,    -0.146655997661573E+00 , 
