r (Ang), PDF (RMC), PDF (Expt)
   0.0000000000000000       ,    5.1432233732073765E-321  ,    5.1432233732073765E-321
   6.5450934118047310E-002  ,    0.0000000000000000       ,    0.0000000000000000     
  0.13090186823609462       ,    0.0000000000000000       ,    0.0000000000000000     
  0.19635280235414193       ,    0.0000000000000000       ,    0.0000000000000000     
  0.26180373647218924       ,    0.0000000000000000       ,    0.0000000000000000     
  0.32725467059023655       ,    0.0000000000000000       ,    0.0000000000000000     
  0.39270560470828386       ,    0.0000000000000000       ,    0.0000000000000000     
  0.45815653882633117       ,    0.0000000000000000       ,    0.0000000000000000     
  0.52360747294437848       ,    0.0000000000000000       ,    0.0000000000000000     
  0.58905840706242585       ,    1.2106098994440799       ,    0.0000000000000000     
  0.65450934118047310       ,    0.0000000000000000       ,    0.0000000000000000     
  0.71996027529852036       ,    0.0000000000000000       ,    0.0000000000000000     
  0.78541120941656772       ,   0.15139431041181023       ,    0.0000000000000000     
  0.85086214353461509       ,   0.41928165538766132       ,    0.0000000000000000     
  0.91631307765266234       ,   0.12978646684474709       ,    0.0000000000000000     
  0.98176401177070960       ,   0.36342201411794695       ,    0.0000000000000000     
   1.0472149458887570       ,   0.22714894257686943       ,    0.0000000000000000     
   1.1126658800068043       ,   0.76741922855394629       ,    0.0000000000000000     
   1.1781168141248517       ,   0.32814170032505918       ,    0.0000000000000000     
   1.2435677482428988       ,    2.8369621699741353E-002  ,   0.13167602517899019     
   1.3090186823609462       ,    8.7180361471848253E-002  ,   0.42386247629255391     
   1.3744696164789936       ,   0.83754606454687763       ,   0.82131347155589007     
   1.4399205505970407       ,    2.2959834176568918       ,    1.3101088086315140     
   1.5053714847150881       ,    4.0625610739761795       ,    1.8490447339205551     
   1.5708224188331354       ,    5.4717854206911607       ,    2.3716989650142000     
   1.6362733529511828       ,    5.9295236981553758       ,    2.7982536838707226     
   1.7017242870692302       ,    5.2405261103375036       ,    3.0546463321230686     
   1.7671752211872773       ,    3.7234875549409359       ,    3.0928779473400105     
   1.8326261553053247       ,    2.0380484309586975       ,    2.9050533958236566     
   1.8980770894233721       ,   0.82850544409109828       ,    2.5258398192845775     
   1.9635280235414192       ,   0.40146318145432125       ,    2.0226271751796037     
   2.0289789576594668       ,   0.62445995599477033       ,    1.4775399115847327     
   2.0944298917775139       ,    1.0835074643703122       ,   0.96823665855546903     
   2.1598808258955611       ,    1.3736762414900208       ,   0.55394793650655938     
   2.2253317600136087       ,    1.3279933677733575       ,   0.26998262513381827     
   2.2907826941316558       ,    1.0544956793535023       ,   0.12985703102449930     
   2.3562336282497034       ,   0.79367021216357625       ,   0.13135596354324930     
   2.4216845623677505       ,   0.72412881131677764       ,   0.26239243900670456     
   2.4871354964857977       ,   0.85706509818018728       ,   0.50423281308914858     
   2.5525864306038453       ,    1.0737832222611488       ,   0.83215579181354615     
   2.6180373647218924       ,    1.2492668087276326       ,    1.2153921088011082     
