Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
165134.783      550631      657466
165146.783      894999     1067442
165158.783     1205570     1439706
165210.790     1517516     1814441
165222.783     2008893     2403182
165234.788     2547364     3047190
165246.804     3040970     3632118
165258.783     3580735     4278147
165310.784     4092304     4891819
165322.783     4565934     5459238
165334.789     4955026     5922814
165346.783     5448879     6517948
165358.783     6062865     7249824
165410.783     6610804     7902560
165422.783     7068312     8451151
165434.783     7683588     9185324
165446.783     8206102     9809887
165458.783     8671337    10368729
165510.783     9549779    11414929
165522.783    11035970    13193351
165534.783    12375372    14802829
165546.783    13598382    16267244
165558.783    14854274    17763552
165610.783    16095802    19259707
165622.783    17398078    20819227
165634.783    18596087    22251780
165646.783    19816455    23709166
165658.783    21040279    25171615
165710.783    21942585    26247148
165722.783    22329430    26709337
165734.783    22616172    27051121
165746.783    22997336    27507395
165758.783    23346001    27924867
165810.783    23776138    28438802
165822.803    24211101    28959603
165834.783    24634182    29463741
165846.783    25071018    29986877
165858.783    25486805    30483596
165910.783    25984476    31080011
165922.783    26463469    31651148
165934.783    26941291    32224040
165946.783    27430983    32808745
165958.783    28041763    33537886
170010.783    28527469    34121900
170022.783    28970270    34650441
170034.785    29377589    35138396
170046.784    29762669    35601039
170058.814    30265993    36204605
170110.792    30733974    36762302
170122.784    31164247    37273949
