Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
161833.545     1747111     2087423
161845.545     3177539     3799129
161857.545     4572882     5466724
161909.545     5951625     7119370
161921.545     7330167     8771730
161933.545     8703051    10416357
161945.545    10089114    12069164
161957.545    11476476    13722098
162009.545    12862060    15376372
162021.545    14245830    17027447
162033.545    15638387    18694610
162045.545    17043196    20373148
162057.545    18438713    22043797
162109.545    19834139    23703691
162121.545    21262531    25405473
162133.545    22804860    27257861
162145.545    24304047    29043391
162157.545    25824601    30859881
162209.545    27183417    32486154
162221.545    28535121    34099739
162233.545    30120914    35989966
162245.545    31587761    37741776
162257.545    33110166    39559698
162309.545    34452812    41165557
162321.545    35792108    42764822
162333.545    37153997    44390193
162345.545    38524547    46026059
162357.545    39876663    47639066
162409.545    41306963    49344234
162421.545    42676444    50983788
162433.545    43957785    52517096
162445.545    45282473    54101456
162457.545    46636085    55713138
162509.545    48153261    57523861
162521.545    49604574    59264155
162533.545    51052748    60991172
162545.545    52605543    62853029
162557.545    54178072    64730951
162609.545    55728884    66584500
162621.545    57235804    68384855
162633.545    58741232    70189551
162645.545    60231713    71967072
162657.545    61593155    73598567
162709.545    63080841    75373813
162721.545    64470014    77035448
162733.545    65859166    78693363
162745.545    67334352    80459917
162757.545    68724504    82121954
162809.545    70123970    83797176
162821.545    71693821    85665790
