   r (Ang),     Ge-Ge
   0.06545 ,         0.000000000000000 , 
   0.13090 ,         0.000000000000000 , 
   0.19635 ,         0.000000000000000 , 
   0.26180 ,         0.000000000000000 , 
   0.32725 ,         0.000000000000000 , 
   0.39271 ,         0.000000000000000 , 
   0.45816 ,         0.000000000000000 , 
   0.52361 ,         0.000000000000000 , 
   0.58906 ,         0.000000000000000 , 
   0.65451 ,         0.000000000000000 , 
   0.71996 ,         0.000000000000000 , 
   0.78541 ,         0.000000000000000 , 
   0.85086 ,         0.000000000000000 , 
   0.91631 ,         0.000000000000000 , 
   0.98176 ,         0.000000000000000 , 
   1.04721 ,         0.000000000000000 , 
   1.11267 ,         0.000000000000000 , 
   1.17812 ,         0.000000000000000 , 
   1.24357 ,         0.748593324986276 , 
   1.30902 ,         0.000000000000000 , 
   1.37447 ,         0.612819738742780 , 
   1.43992 ,         0.000000000000000 , 
   1.50537 ,         0.000000000000000 , 
   1.57082 ,         0.000000000000000 , 
   1.63627 ,         0.432429659667449 , 
   1.70172 ,         0.000000000000000 , 
   1.76718 ,         0.000000000000000 , 
   1.83263 ,         0.000000000000000 , 
   1.89808 ,         0.321376684550236 , 
   1.96353 ,         0.000000000000000 , 
   2.02898 ,         0.281249880964669 , 
   2.09443 ,         0.263947829535807 , 
   2.15988 ,         0.248194573201127 , 
   2.22533 ,         0.467621261034460 , 
   2.29078 ,         0.220641784719783 , 
   2.35623 ,         0.417109866542215 , 
   2.42168 ,         0.000000000000000 , 
   2.48714 ,         0.187180730403689 , 
   2.55259 ,         0.000000000000000 , 
   2.61804 ,         0.337863119333944 , 
   2.68349 ,         0.482375681926168 , 
   2.74894 ,         0.459679939132533 , 
   2.81439 ,         0.292366026153998 , 
   2.87984 ,         0.837684727025920 , 
   2.94529 ,         2.135651949905292 , 
   3.01074 ,         1.660595967516714 , 
   3.07619 ,         1.957768230964900 , 
   3.14164 ,         2.111678100075213 , 
   3.20710 ,         2.138945707359355 , 
   3.27255 ,         1.838009830066133 , 
   3.33800 ,         1.558799960192323 , 
   3.40345 ,         1.399462796397962 , 
   3.46890 ,         2.405629711030832 , 
   3.53435 ,         2.595442990330492 , 
   3.59980 ,         1.161607487483869 , 
   3.66525 ,         0.689534159310293 , 
   3.73070 ,         0.582358720155909 , 
   3.79615 ,         0.562450993092688 , 
   3.86161 ,         0.698845998479635 , 
   3.92706 ,         1.201325849740712 , 
   3.99251 ,         1.089620476955255 , 
   4.05796 ,         0.421902258080453 , 
   4.12341 ,         0.749127708934071 , 
   4.18886 ,         0.791891817915211 , 
   4.25431 ,         0.767713822725122 , 
   4.31976 ,         0.806678656345569 , 
   4.38521 ,         0.481710056197892 , 
   4.45066 ,         0.175367453576323 , 
   4.51611 ,         1.135475076458625 , 
   4.58157 ,         0.772285646167879 , 
   4.64702 ,         0.857925347307102 , 
   4.71247 ,         1.199248696728886 , 
   4.77792 ,         0.963728012418413 , 
   4.84337 ,         0.641692106632659 , 
   4.90882 ,         0.913015254087274 , 
   4.97427 ,         0.982741367715669 , 
   5.03972 ,         0.911792119963888 , 
   5.10517 ,         1.021847473254082 , 
   5.17062 ,         1.039452512944772 , 
   5.23607 ,         0.971394411203074 , 
   5.30153 ,         1.029954046322867 , 
   5.36698 ,         1.125585105288638 , 
   5.43243 ,         0.863206368743322 , 
   5.49788 ,         0.766160376310166 , 
   5.56333 ,         0.897887187598445 , 
   5.62878 ,         1.242597611614572 , 
   5.69423 ,         0.785656643777227 , 
   5.75968 ,         1.256567654639124 , 
   5.82513 ,         0.955491531678484 , 
   5.89058 ,         1.034488340573981 , 
   5.95604 ,         0.685465392213943 , 
   6.02149 ,         1.181612799723584 , 
   6.08694 ,         1.218843424731482 , 
   6.15239 ,         1.131866781616334 , 
   6.21784 ,         1.198014746739377 , 
   6.28329 ,         0.821230426524598 , 
   6.34874 ,         1.177849861072074 , 
   6.41419 ,         0.928776917339522 , 
   6.47964 ,         0.882529618913700 , 
   6.54509 ,         0.837937193791148 , 
   6.61054 ,         0.900919557756350 , 
   6.67600 ,         1.169128062479067 , 
   6.74145 ,         1.172015524036906 , 
   6.80690 ,         0.949657418599541 , 
   6.87235 ,         1.225861814032219 , 
   6.93780 ,         0.962273294272332 , 
   7.00325 ,         1.086026715018047 , 
   7.06870 ,         0.950137887416405 , 
   7.13415 ,         0.864531750978728 , 
   7.19960 ,         0.982918950938929 , 
   7.26505 ,         0.877535086109996 , 
   7.33050 ,         1.012773480371091 , 
   7.39596 ,         1.121939766557070 , 
   7.46141 ,         0.852755958293761 , 
   7.52686 ,         0.878867554193848 , 
   7.59231 ,         0.984307524980096 , 
   7.65776 ,         1.145267718654164 , 
   7.72321 ,         0.873573182390516 , 
   7.78866 ,         0.973480128847500 , 
   7.85411 ,         1.069949410005934 , 
   7.91956 ,         0.978489231157606 , 
   7.98501 ,         0.962514254543574 , 
   8.05046 ,         1.036260088877388 , 
   8.11592 ,         1.195409167089886 , 
   8.18137 ,         0.899568821566859 , 
   8.24682 ,         1.072631564572646 , 
   8.31227 ,         0.904976844969175 , 
   8.37772 ,         1.154859855864112 , 
